run_id,gap_nm,direction,steps,fluid_nodes,fluid_volume_m3,H_ref_nm,J_main_m2_s,K_main_m3,B_main_nm2,R_J_Pa_s_per_m3,R_U_Pa_s_per_m2,pressure_min_Pa,pressure_max_Pa,max_mass_abs_relative,max_density_deviation,max_speed_m_s,Re_max_Href,Mach_max,Q_section1_m3_s,Q_section2_m3_s,section_relative_difference,PASS
sim_ec1xt240_h75_dx5_a1e5_x_20260909,75,X,1807,57600,7.199999999998218e-21,125.00000000000001,4.71945932475247e-12,4.7194593247524704e-23,377.55674598019755,2.1188867859401433e+19,2648608482424.524,-7.929963334133797,7.929964074282481,8.998372684615893e-13,9.912949749946165e-08,9.275467832686611e-05,1.1594334790858267e-05,3.2131163100367977e-07,1.132670268471981e-18,1.1326702149997522e-18,4.7208998383864144e-08,true
sim_ec1xt240_h75_dx5_a1e5_y_20260909,75,Y,2379,57600,7.199999999998218e-21,125.00000000000001,1.0162533432398403e-11,1.0162533432398403e-22,813.002674591872,9.840066029322725e+18,1230008253665.0364,-2.312964634635743e-07,2.590520390792032e-07,0.0,3.1086244689504383e-15,0.0001683010438834973,2.103763048543717e-05,5.830119179461931e-07,2.439008023775685e-18,2.439008023775685e-18,0.0,true
sim_ec1xt240_h70_dx5_a1e5_x_20260909,70,X,1711,55296,6.911999999996683e-21,120.00000000000001,3.9242911856544966e-12,3.924291185654497e-23,327.024265471208,2.5482308847405756e+19,3057877061687.2236,-7.6567913028421,7.656791663664583,1.055917841038307e-12,9.912921350441195e-08,8.209512902978593e-05,9.851415483574313e-06,2.843858690670238e-07,9.41829911336371e-19,9.418298641782928e-19,5.007069490580612e-08,true
sim_ec1xt240_h70_dx5_a1e5_y_20260909,70,Y,2314,55296,6.911999999996683e-21,120.00000000000001,9.133934251933786e-12,9.133934251933787e-23,761.1611876611488,1.094818478453888e+19,1313782174144.0356,-2.1279274638648835e-07,2.220446049250313e-07,0.0,2.6645352591003757e-15,0.00016051199493396462,1.926143939207576e-05,5.560298608997299e-07,2.1921442204641757e-18,2.1921442204641757e-18,0.0,true
sim_ec1xt240_h65_dx5_a1e5_x_20260909,65,X,1703,52992,6.6239999999960656e-21,115.0,3.22316017501151e-12,3.2231601750115104e-23,280.27479782708787,3.102545159724893e+19,3567926933681.509,-7.390706574517125,7.390706879828457,1.069379579629053e-12,9.912858112137712e-08,7.271336608552997e-05,8.362037099835947e-06,2.518864888989872e-07,7.735584655732237e-19,7.735584247085195e-19,5.282691092132567e-08,true
sim_ec1xt240_h65_dx5_a1e5_y_20260909,65,Y,2255,52992,6.6239999999960656e-21,115.0,8.204200065513804e-12,8.204200065513804e-23,713.4087013490264,1.2188878769588769e+19,1401721058501.8762,-1.942890293094024e-07,2.0354088784794536e-07,0.0,2.4424906541753444e-15,0.00015344411738647118,1.764607349944419e-05,5.31546014871862e-07,1.9690080157232813e-18,1.9690080157232813e-18,0.0,true
