# iT  physTime_s  Qy_m3_per_s  qy_cell_m_per_s  u_y_fluid_average_m_per_s  u_y_fluid_max_m_per_s  B_yy_m2
0 0.000000000000000e+00 1.023611111086395e-17 2.624643874580499e-04 6.561609686451249e-04 6.249999999847117e-04 2.624643874580499e-18
1 4.166666666666665e-12 1.649305555554861e-17 4.228988603986824e-04 1.057247150996706e-03 1.041666666665211e-03 4.228988603986824e-18
2 8.333333333333330e-12 2.239969135803591e-17 5.743510604624592e-04 1.435877651156148e-03 1.458333333323505e-03 5.743510604624592e-18
3 1.250000000000000e-11 2.808043981467771e-17 7.200112772994286e-04 1.800028193248572e-03 1.874999999978099e-03 7.200112772994286e-18
4 1.666666666666666e-11 3.359636488330776e-17 8.614452534181479e-04 2.153613133545370e-03 2.291666666662299e-03 8.614452534181478e-18
5 2.083333333333333e-11 3.897133630551807e-17 9.992650334748224e-04 2.498162583687056e-03 2.708333333342798e-03 9.992650334748223e-18
6 2.499999999999999e-11 4.421739492841355e-17 1.133779357138809e-03 2.834448392847023e-03 3.124998511580594e-03 1.133779357138809e-17
7 2.916666666666666e-11 4.934416492612890e-17 1.265234998105869e-03 3.163087495264673e-03 3.541655007274818e-03 1.265234998105869e-17
8 3.333333333333332e-11 5.436011399172601e-17 1.393849076710924e-03 3.484622691777309e-03 3.958284421728088e-03 1.393849076710924e-17
9 3.749999999999999e-11 5.927242943231455e-17 1.519805882879860e-03 3.799514707199651e-03 4.374852507113608e-03 1.519805882879860e-17
10 4.166666666666665e-11 6.408723040835545e-17 1.643262318162960e-03 4.108155795407401e-03 4.791306622672960e-03 1.643262318162960e-17
11 4.583333333333332e-11 6.880984443413547e-17 1.764354985490653e-03 4.410887463726633e-03 5.207575453855578e-03 1.764354985490653e-17
12 4.999999999999998e-11 7.344495601277207e-17 1.883204000327489e-03 4.708010000818723e-03 5.623570516996631e-03 1.883204000327489e-17
13 5.416666666666665e-11 7.799669691381227e-17 1.999915305482366e-03 4.999788263705915e-03 6.039188782970139e-03 1.999915305482366e-17
14 5.833333333333331e-11 8.246873751027051e-17 2.114583013083859e-03 5.286457532709649e-03 6.454315821588561e-03 2.114583013083859e-17
15 6.249999999999998e-11 8.686437199984680e-17 2.227291589739662e-03 5.568228974349155e-03 6.868829028092216e-03 2.227291589739662e-17
16 6.666666666666664e-11 9.118658288065752e-17 2.338117509760449e-03 5.845293774401124e-03 7.282600651993145e-03 2.338117509760449e-17
17 7.083333333333331e-11 9.543808716047037e-17 2.447130440012061e-03 6.117826100030153e-03 7.695500474877510e-03 2.447130440012061e-17
18 7.499999999999997e-11 9.962137247948123e-17 2.554394166140544e-03 6.385985415351361e-03 8.107398072507242e-03 2.554394166140544e-17
19 7.916666666666664e-11 1.037387273935349e-16 2.659967369064997e-03 6.649918422662494e-03 8.518164653279032e-03 2.659967369064998e-17
20 8.333333333333330e-11 1.077922667631596e-16 2.763904275978451e-03 6.909760689946128e-03 8.927674499312329e-03 2.763904275978451e-17
21 8.749999999999997e-11 1.117839527672907e-16 2.866255199161301e-03 7.165637997903252e-03 9.335806053150434e-03 2.866255199161301e-17
22 9.166666666666663e-11 1.157156124103855e-16 2.967066984881679e-03 7.417667462204199e-03 9.742442701074671e-03 2.967066984881679e-17
23 9.583333333333330e-11 1.195889523400506e-16 3.066383393334632e-03 7.665958483336580e-03 1.014747330348751e-02 3.066383393334632e-17
24 9.999999999999996e-11 1.234055715234363e-16 3.164245423677854e-03 7.910613559194635e-03 1.055079252057060e-02 3.164245423677854e-17
25 1.041666666666666e-10 1.271669721481057e-16 3.260691593541173e-03 8.151728983852934e-03 1.095230097519519e-02 3.260691593541173e-17
26 1.083333333333333e-10 1.308745690430285e-16 3.355758180590474e-03 8.389395451476185e-03 1.135190528968162e-02 3.355758180590474e-17
27 1.125000000000000e-10 1.345296978715225e-16 3.449479432603140e-03 8.623698581507851e-03 1.174951802749411e-02 3.449479432603140e-17
28 1.166666666666666e-10 1.381336222992879e-16 3.541887751263793e-03 8.854719378159482e-03 1.214505756459549e-02 3.541887751263793e-17
29 1.208333333333333e-10 1.416875402992273e-16 3.633013853826341e-03 9.082534634565854e-03 1.253844791095297e-02 3.633013853826341e-17
30 1.250000000000000e-10 1.451925897225793e-16 3.722886915963573e-03 9.307217289908933e-03 1.292961849843004e-02 3.722886915963573e-17
31 1.291666666666666e-10 1.486498532428675e-16 3.811534698535065e-03 9.528836746337664e-03 1.331850394727324e-02 3.811534698535066e-17
32 1.333333333333333e-10 1.520603627617267e-16 3.898983660557094e-03 9.747459151392735e-03 1.370504382138571e-02 3.898983660557094e-17
33 1.374999999999999e-10 1.554251033500286e-16 3.985259060257144e-03 9.963147650642859e-03 1.408918237901177e-02 3.985259060257144e-17
34 1.416666666666666e-10 1.587450167856312e-16 4.070385045785416e-03 1.017596261446354e-02 1.447086832457995e-02 4.070385045785415e-17
35 1.458333333333333e-10 1.620210047397530e-16 4.154384736916744e-03 1.038596184229186e-02 1.485005456563808e-02 4.154384736916745e-17
36 1.499999999999999e-10 1.652539316547158e-16 4.237280298838867e-03 1.059320074709717e-02 1.522669797709377e-02 4.237280298838867e-17
