# iT  physTime_s  Qy_m3_per_s  qy_cell_m_per_s  u_y_fluid_average_m_per_s  u_y_fluid_max_m_per_s  B_yy_m2
0 0.000000000000000e+00 1.023611111337675e-18 2.624643875224808e-05 6.561609688062020e-05 6.250000001401428e-05 2.624643875224808e-18
1 4.166666666666665e-12 1.649305555516891e-18 4.228988603889465e-05 1.057247150972366e-04 1.041666666643006e-04 4.228988603889465e-18
2 8.333333333333330e-12 2.239969135964462e-18 5.743510605037081e-05 1.435877651259270e-04 1.458333333552951e-04 5.743510605037081e-18
3 1.250000000000000e-11 2.808043981464680e-18 7.200112772986361e-05 1.800028193246590e-04 1.874999999944792e-04 7.200112772986361e-18
4 1.666666666666666e-11 3.359636488357420e-18 8.614452534249796e-05 2.153613133562449e-04 2.291666666595686e-04 8.614452534249796e-18
5 2.083333333333333e-11 3.897133630521791e-18 9.992650334671260e-05 2.498162583667815e-04 2.708333333320593e-04 9.992650334671260e-18
6 2.499999999999999e-11 4.421739492825901e-18 1.133779357134847e-04 2.834448392837116e-04 3.124998511421463e-04 1.133779357134847e-17
7 2.916666666666666e-11 4.934416492520089e-18 1.265234998082074e-04 3.163087495205186e-04 3.541655006986160e-04 1.265234998082074e-17
8 3.333333333333332e-11 5.436011399047251e-18 1.393849076678782e-04 3.484622691696957e-04 3.958284421287699e-04 1.393849076678782e-17
9 3.749999999999999e-11 5.927242943010200e-18 1.519805882823128e-04 3.799514707057821e-04 4.374852506499283e-04 1.519805882823128e-17
10 4.166666666666665e-11 6.408723040631812e-18 1.643262318110721e-04 4.108155795276803e-04 4.791306622247373e-04 1.643262318110721e-17
11 4.583333333333332e-11 6.880984443200357e-18 1.764354985435989e-04 4.410887463589973e-04 5.207575453392986e-04 1.764354985435989e-17
12 4.999999999999998e-11 7.344495601150204e-18 1.883204000294924e-04 4.708010000737311e-04 5.623570516789387e-04 1.883204000294924e-17
13 5.416666666666665e-11 7.799669691270989e-18 1.999915305454100e-04 4.999788263635250e-04 6.039188782740694e-04 1.999915305454100e-17
14 5.833333333333331e-11 8.246873750856417e-18 2.114583013040107e-04 5.286457532600268e-04 6.454315821373917e-04 2.114583013040107e-17
15 6.249999999999998e-11 8.686437199865390e-18 2.227291589709074e-04 5.568228974272687e-04 6.868829027873870e-04 2.227291589709074e-17
16 6.666666666666664e-11 9.118658288008763e-18 2.338117509745837e-04 5.845293774364592e-04 7.282600651800696e-04 2.338117509745837e-17
17 7.083333333333331e-11 9.543808715995507e-18 2.447130439998848e-04 6.117826099997120e-04 7.695500474688753e-04 2.447130439998848e-17
18 7.499999999999997e-11 9.962137247967496e-18 2.554394166145512e-04 6.385985415363780e-04 8.107398072644136e-04 2.554394166145512e-17
19 7.916666666666664e-11 1.037387273933528e-17 2.659967369060329e-04 6.649918422650823e-04 8.518164653467719e-04 2.659967369060329e-17
20 8.333333333333330e-11 1.077922667631759e-17 2.763904275978868e-04 6.909760689947171e-04 8.927674499612016e-04 2.763904275978868e-17
21 8.749999999999997e-11 1.117839527666979e-17 2.866255199146099e-04 7.165637997865248e-04 9.335806053202151e-04 2.866255199146099e-17
22 9.166666666666663e-11 1.157156124097876e-17 2.967066984866349e-04 7.417667462165875e-04 9.742442701111560e-04 2.967066984866349e-17
23 9.583333333333330e-11 1.195889523395577e-17 3.066383393321992e-04 7.665958483304981e-04 1.014747330361319e-03 3.066383393321992e-17
24 9.999999999999996e-11 1.234055715232278e-17 3.164245423672507e-04 7.910613559181268e-04 1.055079252074807e-03 3.164245423672507e-17
25 1.041666666666666e-10 1.271669721482612e-17 3.260691593545159e-04 8.151728983862898e-04 1.095230097541705e-03 3.260691593545159e-17
26 1.083333333333333e-10 1.308745690432160e-17 3.355758180595282e-04 8.389395451488204e-04 1.135190528983316e-03 3.355758180595282e-17
27 1.125000000000000e-10 1.345296978716219e-17 3.449479432605690e-04 8.623698581514224e-04 1.174951802764193e-03 3.449479432605689e-17
28 1.166666666666666e-10 1.381336222993564e-17 3.541887751265549e-04 8.854719378163872e-04 1.214505756472849e-03 3.541887751265548e-17
29 1.208333333333333e-10 1.416875402991720e-17 3.633013853824924e-04 9.082534634562311e-04 1.253844791106375e-03 3.633013853824924e-17
30 1.250000000000000e-10 1.451925897224467e-17 3.722886915960172e-04 9.307217289900432e-04 1.292961849872586e-03 3.722886915960172e-17
31 1.291666666666666e-10 1.486498532423556e-17 3.811534698521939e-04 9.528836746304849e-04 1.331850394753204e-03 3.811534698521939e-17
32 1.333333333333333e-10 1.520603627611161e-17 3.898983660541439e-04 9.747459151353600e-04 1.370504382149276e-03 3.898983660541440e-17
33 1.374999999999999e-10 1.554251033496864e-17 3.985259060248369e-04 9.963147650620923e-04 1.408918237901149e-03 3.985259060248370e-17
34 1.416666666666666e-10 1.587450167849580e-17 4.070385045768155e-04 1.017596261442039e-03 1.447086832467587e-03 4.070385045768155e-17
35 1.458333333333333e-10 1.620210047393085e-17 4.154384736905347e-04 1.038596184226337e-03 1.485005456571178e-03 4.154384736905347e-17
36 1.499999999999999e-10 1.652539316544174e-17 4.237280298831214e-04 1.059320074707804e-03 1.522669797713415e-03 4.237280298831214e-17
37 1.541666666666666e-10 1.684446273508429e-17 4.319093008995972e-04 1.079773252248993e-03 1.560075917511345e-03 4.319093008995973e-17
38 1.583333333333333e-10 1.715938893952185e-17 4.399843317826115e-04 1.099960829456529e-03 1.597220230140738e-03 4.399843317826115e-17
39 1.625000000000000e-10 1.747024852548725e-17 4.479550903971091e-04 1.119887725992773e-03 1.634099481811764e-03 4.479550903971091e-17
