ay_m_per_s2,Qy_m3_per_s,qy_m_per_s,u_y_fluid_average_m_per_s,u_y_fluid_max_m_per_s,Re,B_yy_m2,B_yy_nm2
1.000000e+06,4.38502885e-18,1.12436637e-04,2.81091593e-04,5.24294434e-04,2.370286e-05,1.12436637e-16,112.436637
1.000000e+07,4.38502885e-17,1.12436637e-03,2.81091593e-03,5.24294434e-03,2.370286e-04,1.12436637e-16,112.436637
1.000000e+08,4.38502885e-16,1.12436637e-02,2.81091593e-02,5.24294434e-02,2.370286e-03,1.12436637e-16,112.436637
