# iT  physTime_s  Qy_m3_per_s  qy_cell_m_per_s  u_y_fluid_average_m_per_s  u_y_fluid_max_m_per_s  B_yy_m2
45 1.874999999999999e-10 1.925397182486951e-18 4.936915852530644e-05 1.234228963132661e-04 1.849663689651177e-04 4.936915852530644e-17
46 1.916666666666666e-10 1.953829854105734e-18 5.009820138732652e-05 1.252455034683163e-04 1.884620508350131e-04 5.009820138732652e-17
47 1.958333333333333e-10 1.981908470793773e-18 5.081816591778906e-05 1.270454147944727e-04 1.919296090422505e-04 5.081816591778907e-17
48 1.999999999999999e-10 2.009638712602128e-18 5.152919775902893e-05 1.288229943975723e-04 1.953689423863006e-04 5.152919775902894e-17
49 2.041666666666666e-10 2.037026096576322e-18 5.223143837375185e-05 1.305785959343797e-04 1.987799680260218e-04 5.223143837375185e-17
50 2.083333333333333e-10 2.064075985169985e-18 5.292502526076886e-05 1.323125631519221e-04 2.021626203879418e-04 5.292502526076886e-17
51 2.124999999999999e-10 2.090793594341893e-18 5.361009216261263e-05 1.340252304065316e-04 2.055168501855597e-04 5.361009216261263e-17
52 2.166666666666666e-10 2.117184001070512e-18 5.428676925821826e-05 1.357169231455457e-04 2.088426235570731e-04 5.428676925821826e-17
53 2.208333333333332e-10 2.143252150018116e-18 5.495518333379785e-05 1.373879583344946e-04 2.121399211660978e-04 5.495518333379785e-17
54 2.249999999999999e-10 2.169002860204702e-18 5.561545795396672e-05 1.390386448849168e-04 2.154087373578979e-04 5.561545795396672e-17
55 2.291666666666666e-10 2.194440830817235e-18 5.626771361069833e-05 1.406692840267458e-04 2.186490794488430e-04 5.626771361069834e-17
56 2.333333333333333e-10 2.219570646842736e-18 5.691206786776246e-05 1.422801696694062e-04 2.218609669973621e-04 5.691206786776246e-17
57 2.374999999999999e-10 2.244396784289841e-18 5.754863549461132e-05 1.438715887365283e-04 2.250444310785977e-04 5.754863549461132e-17
58 2.416666666666666e-10 2.268923614995148e-18 5.817752858961919e-05 1.454438214740480e-04 2.281995136330750e-04 5.817752858961918e-17
59 2.458333333333333e-10 2.293155411282633e-18 5.879885669955470e-05 1.469971417488867e-04 2.313262669300937e-04 5.879885669955469e-17
60 2.499999999999999e-10 2.317096350094420e-18 5.941272692549796e-05 1.485318173137449e-04 2.344247529126974e-04 5.941272692549796e-17
61 2.541666666666666e-10 2.340750516938369e-18 6.001924402406075e-05 1.500481100601519e-04 2.374950426388603e-04 6.001924402406076e-17
62 2.583333333333333e-10 2.364121909706866e-18 6.061851050530427e-05 1.515462762632607e-04 2.405372158522015e-04 6.061851050530427e-17
63 2.624999999999999e-10 2.387214442263960e-18 6.121062672471691e-05 1.530265668117923e-04 2.435513604009683e-04 6.121062672471692e-17
64 2.666666666666666e-10 2.410031947497730e-18 6.179569096148027e-05 1.544892274037007e-04 2.465375718050489e-04 6.179569096148027e-17
65 2.708333333333332e-10 2.432578180604702e-18 6.237379950268467e-05 1.559344987567117e-04 2.494959527563722e-04 6.237379950268467e-17
