# iT  physTime_s  Qy_m3_per_s  qy_cell_m_per_s  u_y_fluid_average_m_per_s  u_y_fluid_max_m_per_s  B_yy_m2
45 1.171875000000000e-11 1.700799141242282e-19 4.361023439082774e-06 1.090255859770694e-05 1.210937719053032e-05 4.361023439082774e-18
46 1.197916666666666e-11 1.734906386414429e-19 4.448477913883151e-06 1.112119478470788e-05 1.236979384173652e-05 4.448477913883151e-18
47 1.223958333333333e-11 1.768939066023130e-19 4.535741194931104e-06 1.133935298732776e-05 1.263021043373083e-05 4.535741194931105e-18
48 1.250000000000000e-11 1.802898030324825e-19 4.622815462371346e-06 1.155703865592837e-05 1.289062712934595e-05 4.622815462371346e-18
49 1.276041666666666e-11 1.836784109420779e-19 4.709702844668664e-06 1.177425711167166e-05 1.315104381015811e-05 4.709702844668664e-18
50 1.302083333333333e-11 1.870598103137862e-19 4.796405392661186e-06 1.199101348165297e-05 1.341146050577323e-05 4.796405392661186e-18
51 1.328125000000000e-11 1.904340788729338e-19 4.882925099305995e-06 1.220731274826499e-05 1.367187709776754e-05 4.882925099305995e-18
52 1.354166666666666e-11 1.938012925337029e-19 4.969263911120588e-06 1.242315977780147e-05 1.393229379338267e-05 4.969263911120588e-18
53 1.380208333333333e-11 1.971615243972946e-19 5.055423702494735e-06 1.263855925623684e-05 1.419271047419482e-05 5.055423702494735e-18
54 1.406250000000000e-11 2.005148460580597e-19 5.141406309181018e-06 1.285351577295255e-05 1.445312716980995e-05 5.141406309181018e-18
55 1.432291666666666e-11 2.038613269214518e-19 5.227213510806456e-06 1.306803377701614e-05 1.471354379141020e-05 5.227213510806456e-18
56 1.458333333333333e-11 2.072010344546138e-19 5.312847037297790e-06 1.328211759324448e-05 1.497396047222235e-05 5.312847037297790e-18
57 1.484374999999999e-11 2.105340344119385e-19 5.398308574665091e-06 1.349577143666273e-05 1.523437718264045e-05 5.398308574665091e-18
58 1.510416666666666e-11 2.138603908268803e-19 5.483599764791803e-06 1.370899941197951e-05 1.549479383384666e-05 5.483599764791803e-18
59 1.536458333333333e-11 2.171801661089612e-19 5.568722207922084e-06 1.392180551980521e-05 1.575521045544691e-05 5.568722207922084e-18
60 1.562499999999999e-11 2.204934211851391e-19 5.653677466285619e-06 1.413419366571405e-05 1.601562712145609e-05 5.653677466285619e-18
61 1.588541666666666e-11 2.238002153926252e-19 5.738467061349364e-06 1.434616765337341e-05 1.627604380226824e-05 5.738467061349363e-18
62 1.614583333333333e-11 2.271006067384445e-19 5.823092480472935e-06 1.455773120118234e-05 1.653646049788337e-05 5.823092480472935e-18
63 1.640625000000000e-11 2.303946516856255e-19 5.907555171426296e-06 1.476888792856574e-05 1.679687711948362e-05 5.907555171426296e-18
64 1.666666666666666e-11 2.336824053288474e-19 5.991856546893524e-06 1.497964136723381e-05 1.705729378549281e-05 5.991856546893524e-18
65 1.692708333333333e-11 2.369639209418843e-19 6.075997972868829e-06 1.518999493217207e-05 1.731771039229009e-05 6.075997972868829e-18
66 1.718749999999999e-11 2.402392519167492e-19 6.159980818378185e-06 1.539995204594546e-05 1.757812695467845e-05 6.159980818378185e-18
67 1.744791666666666e-11 2.435084497202822e-19 6.243806403084159e-06 1.560951600771040e-05 1.783854359108168e-05 6.243806403084160e-18
68 1.770833333333333e-11 2.467715647030404e-19 6.327476018026676e-06 1.581869004506669e-05 1.809896010906112e-05 6.327476018026676e-18
69 1.796874999999999e-11 2.500286460757055e-19 6.410990925018089e-06 1.602747731254523e-05 1.835937668625246e-05 6.410990925018089e-18
70 1.822916666666666e-11 2.532797421244674e-19 6.494352362165832e-06 1.623588090541458e-05 1.861979326344380e-05 6.494352362165832e-18
71 1.848958333333333e-11 2.565249001257220e-19 6.577561541685180e-06 1.644390385421295e-05 1.888020984063513e-05 6.577561541685180e-18
72 1.874999999999999e-11 2.597641661790285e-19 6.660619645616115e-06 1.665154911404029e-05 1.914062641782647e-05 6.660619645616115e-18
73 1.901041666666666e-11 2.629975854539032e-19 6.743527832151365e-06 1.685881958037841e-05 1.940104296541186e-05 6.743527832151365e-18
74 1.927083333333332e-11 2.662252022770643e-19 6.826287237873445e-06 1.706571809468361e-05 1.966145946858833e-05 6.826287237873445e-18
75 1.953124999999999e-11 2.694470601802179e-19 6.908898978979947e-06 1.727224744744987e-05 1.992187597176479e-05 6.908898978979947e-18
76 1.979166666666666e-11 2.726632016858311e-19 6.991364145790541e-06 1.747841036447636e-05 2.018229251935018e-05 6.991364145790541e-18
77 2.005208333333333e-11 2.758736686620331e-19 7.073683811847002e-06 1.768420952961751e-05 2.044270896331476e-05 7.073683811847003e-18
78 2.031249999999999e-11 2.790785019119717e-19 7.155859023383890e-06 1.788964755845973e-05 2.070312543688527e-05 7.155859023383890e-18
79 2.057291666666666e-11 2.822777415387531e-19 7.237890808685978e-06 1.809472702171495e-05 2.096354192525877e-05 7.237890808685977e-18
80 2.083333333333333e-11 2.854714271178035e-19 7.319780182507783e-06 1.829945045626946e-05 2.122395838402631e-05 7.319780182507783e-18
81 2.109374999999999e-11 2.886595970125557e-19 7.401528128527071e-06 1.850382032131768e-05 2.148437475397602e-05 7.401528128527071e-18
82 2.135416666666666e-11 2.918422895750166e-19 7.483135630128632e-06 1.870783907532158e-05 2.174479115353168e-05 7.483135630128631e-18
83 2.161458333333333e-11 2.950195417916647e-19 7.564603635683710e-06 1.891150908920928e-05 2.200520752348138e-05 7.564603635683709e-18
84 2.187499999999999e-11 2.981913902674321e-19 7.645933083780309e-06 1.911483270945077e-05 2.226562383421918e-05 7.645933083780309e-18
85 2.213541666666666e-11 3.013578712039623e-19 7.727124902665700e-06 1.931781225666425e-05 2.252604005613915e-05 7.727124902665700e-18
86 2.239583333333333e-11 3.045190197129374e-19 7.808179992639422e-06 1.952044998159856e-05 2.278645618924128e-05 7.808179992639421e-18
87 2.265624999999999e-11 3.076748705325421e-19 7.889099244424157e-06 1.972274811106039e-05 2.304687229273746e-05 7.889099244424157e-18
88 2.291666666666666e-11 3.108254578836893e-19 7.969883535479213e-06 1.992470883869803e-05 2.330728830741580e-05 7.969883535479212e-18
89 2.317708333333332e-11 3.139708152264658e-19 8.050533723755532e-06 2.012633430938883e-05 2.356770426288224e-05 8.050533723755533e-18
90 2.343749999999999e-11 3.171109755230229e-19 8.131050654436485e-06 2.032762663609122e-05 2.382812012953083e-05 8.131050654436486e-18
91 2.369791666666666e-11 3.202459713436498e-19 8.211435162657688e-06 2.052858790664422e-05 2.408853593696755e-05 8.211435162657688e-18
92 2.395833333333332e-11 3.233758355287435e-19 8.291688090480603e-06 2.072922022620151e-05 2.434895174440425e-05 8.291688090480603e-18
93 2.421874999999999e-11 3.265005985432402e-19 8.371810219057441e-06 2.092952554764360e-05 2.460936738900825e-05 8.371810219057440e-18
94 2.447916666666666e-11 3.296202912506923e-19 8.451802339761341e-06 2.112950584940335e-05 2.486978291518846e-05 8.451802339761342e-18
95 2.473958333333333e-11 3.327349439761478e-19 8.531665230157636e-06 2.132916307539410e-05 2.513019827853595e-05 8.531665230157636e-18
96 2.499999999999999e-11 3.358445868359329e-19 8.611399662459819e-06 2.152849915614955e-05 2.539061350865668e-05 8.611399662459819e-18
97 2.526041666666666e-11 3.389492490099467e-19 8.691006384870428e-06 2.172751596217607e-05 2.565102847232389e-05 8.691006384870429e-18
98 2.552083333333332e-11 3.420489595810366e-19 8.770486143103503e-06 2.192621535775876e-05 2.591144324355244e-05 8.770486143103502e-18
99 2.578124999999999e-11 3.451437472406961e-19 8.849839672838361e-06 2.212459918209590e-05 2.617185779273638e-05 8.849839672838362e-18
100 2.604166666666666e-11 3.482336400189572e-19 8.929067692793776e-06 2.232266923198444e-05 2.643227210507275e-05 8.929067692793776e-18
101 2.630208333333332e-11 3.513186656949416e-19 9.008170915254915e-06 2.252042728813729e-05 2.669268618056154e-05 9.008170915254915e-18
102 2.656249999999999e-11 3.543988515851779e-19 9.087150040645587e-06 2.271787510161397e-05 2.695309987117301e-05 9.087150040645588e-18
103 2.682291666666666e-11 3.574742244160649e-19 9.166005754258076e-06 2.291501438564519e-05 2.721351325092203e-05 9.166005754258076e-18
104 2.708333333333332e-11 3.605448109417110e-19 9.244738742095154e-06 2.311184685523788e-05 2.747392627539970e-05 9.244738742095154e-18
105 2.734374999999999e-11 3.636106372918163e-19 9.323349674149135e-06 2.330837418537284e-05 2.773433894460598e-05 9.323349674149135e-18
106 2.760416666666666e-11 3.666717291020780e-19 9.401839207745590e-06 2.350459801936398e-05 2.799475114011712e-05 9.401839207745590e-18
107 2.786458333333332e-11 3.697281118413825e-19 9.480207995932885e-06 2.370051998983222e-05 2.825516287673606e-05 9.480207995932885e-18
108 2.812499999999999e-11 3.727798106625724e-19 9.558456683655704e-06 2.389614170913926e-05 2.851557411005390e-05 9.558456683655704e-18
109 2.838541666666666e-11 3.758268501462170e-19 9.636585901185052e-06 2.409146475296263e-05 2.877598485487362e-05 9.636585901185053e-18
110 2.864583333333332e-11 3.788692546789664e-19 9.714596273819652e-06 2.428649068454913e-05 2.903639500757438e-05 9.714596273819653e-18
111 2.890624999999999e-11 3.819070483017748e-19 9.792488417994226e-06 2.448122104498556e-05 2.929680450894431e-05 9.792488417994226e-18
112 2.916666666666666e-11 3.849402542518415e-19 9.870262929534397e-06 2.467565732383599e-05 2.955721322575664e-05 9.870262929534397e-18
113 2.942708333333333e-11 3.879688964236640e-19 9.947920421119589e-06 2.486980105279898e-05 2.981762130604109e-05 9.947920421119589e-18
114 2.968749999999999e-11 3.909929978576544e-19 1.002546148352960e-05 2.506365370882401e-05 3.007802858696497e-05 1.002546148352960e-17
115 2.994791666666666e-11 3.940125814226030e-19 1.010288670314367e-05 2.525721675785917e-05 3.033843500931637e-05 1.010288670314367e-17
116 3.020833333333332e-11 3.970276695982593e-19 1.018019665636562e-05 2.545049164091406e-05 3.059884060270125e-05 1.018019665636563e-17
117 3.046874999999999e-11 4.000382845184923e-19 1.025739191073057e-05 2.564347977682643e-05 3.085924526349878e-05 1.025739191073057e-17
118 3.072916666666666e-11 4.030444482113753e-19 1.033447303106091e-05 2.583618257765227e-05 3.111964893249708e-05 1.033447303106091e-17
119 3.098958333333332e-11 4.060461823273218e-19 1.041144057249543e-05 2.602860143123858e-05 3.138005152087832e-05 1.041144057249543e-17
120 3.124999999999999e-11 4.090435081717427e-19 1.048829508132674e-05 2.622073770331684e-05 3.164045301383949e-05 1.048829508132674e-17
121 3.151041666666666e-11 4.120364469219108e-19 1.056503710056182e-05 2.641259275140454e-05 3.190085327815386e-05 1.056503710056182e-17
122 3.177083333333332e-11 4.150250194079232e-19 1.064166716430572e-05 2.660416791076431e-05 3.216125231382140e-05 1.064166716430572e-17
123 3.203124999999999e-11 4.180092462382946e-19 1.071818580098191e-05 2.679546450245479e-05 3.242165000241835e-05 1.071818580098191e-17
124 3.229166666666666e-11 4.209891478278988e-19 1.079459353404869e-05 2.698648383512172e-05 3.268204626992981e-05 1.079459353404869e-17
125 3.255208333333332e-11 4.239647441532096e-19 1.087089087572332e-05 2.717722718930831e-05 3.294244099793203e-05 1.087089087572332e-17
126 3.281249999999999e-11 4.269360551607254e-19 1.094707833745450e-05 2.736769584363625e-05 3.320283414201605e-05 1.094707833745450e-17
127 3.307291666666665e-11 4.299031004532840e-19 1.102315642187908e-05 2.755789105469769e-05 3.346322559856109e-05 1.102315642187908e-17
128 3.333333333333332e-11 4.328658994577067e-19 1.109912562712069e-05 2.774781406780171e-05 3.372361527874929e-05 1.109912562712069e-17
129 3.359374999999999e-11 4.358244714189232e-19 1.117498644663906e-05 2.793746611659764e-05 3.398400315297469e-05 1.117498644663906e-17
130 3.385416666666665e-11 4.387788352486575e-19 1.125073936535019e-05 2.812684841337548e-05 3.424438902879866e-05 1.125073936535019e-17
131 3.411458333333332e-11 4.417290096925165e-19 1.132638486391068e-05 2.831596215977670e-05 3.450477287661522e-05 1.132638486391068e-17
132 3.437499999999998e-11 4.446750132105487e-19 1.140192341565510e-05 2.850480853913774e-05 3.476515453359170e-05 1.140192341565510e-17
133 3.463541666666665e-11 4.476168640865080e-19 1.147735548939764e-05 2.869338872349411e-05 3.502553392571319e-05 1.147735548939764e-17
134 3.489583333333332e-11 4.505545804204531e-19 1.155268154924239e-05 2.888170387310597e-05 3.528591094935889e-05 1.155268154924239e-17
135 3.515624999999999e-11 4.534881801631634e-19 1.162790205546573e-05 2.906975513866433e-05 3.554628545649908e-05 1.162790205546573e-17
136 3.541666666666665e-11 4.564176809795830e-19 1.170301746101495e-05 2.925754365253738e-05 3.580665732870997e-05 1.170301746101495e-17
137 3.567708333333332e-11 4.593431004673940e-19 1.177802821711267e-05 2.944507054278167e-05 3.606702650677964e-05 1.177802821711267e-17
138 3.593749999999999e-11 4.622644558702569e-19 1.185293476590402e-05 2.963233691476006e-05 3.632739279826944e-05 1.185293476590403e-17
139 3.619791666666665e-11 4.651817643164149e-19 1.192773754657474e-05 2.981934386643685e-05 3.658775608475560e-05 1.192773754657474e-17
140 3.645833333333332e-11 4.680950427766908e-19 1.200243699427413e-05 3.000609248568531e-05 3.684811623301132e-05 1.200243699427413e-17
141 3.671874999999999e-11 4.710043079783985e-19 1.207703353790765e-05 3.019258384476914e-05 3.710847312461286e-05 1.207703353790765e-17
142 3.697916666666666e-11 4.739095766051835e-19 1.215152760526112e-05 3.037881901315279e-05 3.736882665593937e-05 1.215152760526112e-17
143 3.723958333333332e-11 4.768108650306148e-19 1.222591961616961e-05 3.056479904042403e-05 3.762917661974924e-05 1.222591961616961e-17
144 3.749999999999999e-11 4.797081894737093e-19 1.230020998650537e-05 3.075052496626342e-05 3.788952289761865e-05 1.230020998650537e-17
145 3.776041666666666e-11 4.826015657380753e-19 1.237439912148911e-05 3.093599780372278e-05 3.814986523789707e-05 1.237439912148911e-17
146 3.802083333333332e-11 4.854910099780593e-19 1.244848743533485e-05 3.112121858833714e-05 3.841020359617558e-05 1.244848743533485e-17
147 3.828124999999999e-11 4.883765379351899e-19 1.252247533167154e-05 3.130618832917885e-05 3.867053776521254e-05 1.252247533167154e-17
148 3.854166666666665e-11 4.912581652239209e-19 1.259636321086977e-05 3.149090802717443e-05 3.893086764138714e-05 1.259636321086977e-17
149 3.880208333333332e-11 4.941359072906931e-19 1.267015146899213e-05 3.167537867248033e-05 3.919119301745775e-05 1.267015146899213e-17
150 3.906249999999999e-11 4.970097794202705e-19 1.274384049795565e-05 3.185960124488914e-05 3.945151377500057e-05 1.274384049795565e-17
151 3.932291666666665e-11 4.998797967485085e-19 1.281743068585919e-05 3.204357671464799e-05 3.971182967716803e-05 1.281743068585919e-17
152 3.958333333333332e-11 5.027459742357552e-19 1.289092241630142e-05 3.222730604075354e-05 3.997214060553634e-05 1.289092241630142e-17
