# iT  physTime_s  Qx_m3_per_s  qx_cell_m_per_s  max_abs_ux_m_per_s
2567 1.069583333333333e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2568 1.070000000000000e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2569 1.070416666666666e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2570 1.070833333333333e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2571 1.071250000000000e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2572 1.071666666666666e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2573 1.072083333333333e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2574 1.072500000000000e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2575 1.072916666666666e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2576 1.073333333333333e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2577 1.073750000000000e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2578 1.074166666666666e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2579 1.074583333333333e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2580 1.075000000000000e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2581 1.075416666666666e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2582 1.075833333333333e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2583 1.076250000000000e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2584 1.076666666666666e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2585 1.077083333333333e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2586 1.077500000000000e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2587 1.077916666666666e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2588 1.078333333333333e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2589 1.078750000000000e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2590 1.079166666666666e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2591 1.079583333333333e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2592 1.080000000000000e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2593 1.080416666666666e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2594 1.080833333333333e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2595 1.081250000000000e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2596 1.081666666666666e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2597 1.082083333333333e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2598 1.082500000000000e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2599 1.082916666666666e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2600 1.083333333333333e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2601 1.083750000000000e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2602 1.084166666666666e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2603 1.084583333333333e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2604 1.085000000000000e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2605 1.085416666666666e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2606 1.085833333333333e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2607 1.086250000000000e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2608 1.086666666666666e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2609 1.087083333333333e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2610 1.087500000000000e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2611 1.087916666666666e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2612 1.088333333333333e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2613 1.088750000000000e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2614 1.089166666666666e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2615 1.089583333333333e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2616 1.090000000000000e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2617 1.090416666666666e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2618 1.090833333333333e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2619 1.091250000000000e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2620 1.091666666666666e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2621 1.092083333333333e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2622 1.092500000000000e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2623 1.092916666666666e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2624 1.093333333333333e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2625 1.093750000000000e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2626 1.094166666666666e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2627 1.094583333333333e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2628 1.095000000000000e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2629 1.095416666666666e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2630 1.095833333333333e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2631 1.096250000000000e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2632 1.096666666666666e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2633 1.097083333333333e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2634 1.097500000000000e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2635 1.097916666666666e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2636 1.098333333333333e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2637 1.098750000000000e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2638 1.099166666666666e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2639 1.099583333333333e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2640 1.100000000000000e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2641 1.100416666666666e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2642 1.100833333333333e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2643 1.101250000000000e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2644 1.101666666666666e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2645 1.102083333333333e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2646 1.102500000000000e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2647 1.102916666666666e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2648 1.103333333333333e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2649 1.103750000000000e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2650 1.104166666666666e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2651 1.104583333333333e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2652 1.105000000000000e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2653 1.105416666666666e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2654 1.105833333333333e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2655 1.106250000000000e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2656 1.106666666666666e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2657 1.107083333333333e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2658 1.107500000000000e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2659 1.107916666666666e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2660 1.108333333333333e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2661 1.108750000000000e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2662 1.109166666666666e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2663 1.109583333333333e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2664 1.110000000000000e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2665 1.110416666666666e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2666 1.110833333333333e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2667 1.111250000000000e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2668 1.111666666666666e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2669 1.112083333333333e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2670 1.112500000000000e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2671 1.112916666666666e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2672 1.113333333333333e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2673 1.113750000000000e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2674 1.114166666666666e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2675 1.114583333333333e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2676 1.115000000000000e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2677 1.115416666666666e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2678 1.115833333333333e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2679 1.116250000000000e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2680 1.116666666666666e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2681 1.117083333333333e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2682 1.117500000000000e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2683 1.117916666666666e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2684 1.118333333333333e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2685 1.118750000000000e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2686 1.119166666666666e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2687 1.119583333333333e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2688 1.120000000000000e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2689 1.120416666666666e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2690 1.120833333333333e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2691 1.121250000000000e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2692 1.121666666666666e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2693 1.122083333333333e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2694 1.122500000000000e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2695 1.122916666666666e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2696 1.123333333333333e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2697 1.123750000000000e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2698 1.124166666666666e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2699 1.124583333333333e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2700 1.125000000000000e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2701 1.125416666666666e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2702 1.125833333333333e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2703 1.126250000000000e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2704 1.126666666666666e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2705 1.127083333333333e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2706 1.127500000000000e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2707 1.127916666666666e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2708 1.128333333333333e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2709 1.128750000000000e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2710 1.129166666666666e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2711 1.129583333333333e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2712 1.130000000000000e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2713 1.130416666666666e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2714 1.130833333333333e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2715 1.131250000000000e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2716 1.131666666666666e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2717 1.132083333333333e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2718 1.132500000000000e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2719 1.132916666666666e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2720 1.133333333333333e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2721 1.133750000000000e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2722 1.134166666666666e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2723 1.134583333333333e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2724 1.135000000000000e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2725 1.135416666666666e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2726 1.135833333333333e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2727 1.136250000000000e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2728 1.136666666666666e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2729 1.137083333333333e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2730 1.137500000000000e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2731 1.137916666666666e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2732 1.138333333333333e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2733 1.138750000000000e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2734 1.139166666666666e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2735 1.139583333333333e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2736 1.140000000000000e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2737 1.140416666666666e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2738 1.140833333333333e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2739 1.141250000000000e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2740 1.141666666666666e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2741 1.142083333333333e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2742 1.142500000000000e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2743 1.142916666666666e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2744 1.143333333333333e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2745 1.143750000000000e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2746 1.144166666666666e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2747 1.144583333333333e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2748 1.145000000000000e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2749 1.145416666666666e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2750 1.145833333333333e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2751 1.146250000000000e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2752 1.146666666666666e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2753 1.147083333333333e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2754 1.147500000000000e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2755 1.147916666666666e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2756 1.148333333333333e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2757 1.148750000000000e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2758 1.149166666666666e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2759 1.149583333333333e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2760 1.150000000000000e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2761 1.150416666666666e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2762 1.150833333333333e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2763 1.151250000000000e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2764 1.151666666666666e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2765 1.152083333333333e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2766 1.152500000000000e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2767 1.152916666666666e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2768 1.153333333333333e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2769 1.153750000000000e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2770 1.154166666666666e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2771 1.154583333333333e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2772 1.155000000000000e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2773 1.155416666666666e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2774 1.155833333333333e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2775 1.156250000000000e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2776 1.156666666666666e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2777 1.157083333333333e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2778 1.157500000000000e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2779 1.157916666666666e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2780 1.158333333333333e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2781 1.158750000000000e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2782 1.159166666666666e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2783 1.159583333333333e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2784 1.160000000000000e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2785 1.160416666666666e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2786 1.160833333333333e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2787 1.161250000000000e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2788 1.161666666666666e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2789 1.162083333333333e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2790 1.162500000000000e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2791 1.162916666666666e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2792 1.163333333333333e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2793 1.163750000000000e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2794 1.164166666666666e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2795 1.164583333333333e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2796 1.165000000000000e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2797 1.165416666666666e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2798 1.165833333333333e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2799 1.166250000000000e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2800 1.166666666666666e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2801 1.167083333333333e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2802 1.167500000000000e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2803 1.167916666666666e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2804 1.168333333333333e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2805 1.168750000000000e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2806 1.169166666666666e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2807 1.169583333333333e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2808 1.170000000000000e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2809 1.170416666666666e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2810 1.170833333333333e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2811 1.171250000000000e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2812 1.171666666666666e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2813 1.172083333333333e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2814 1.172500000000000e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2815 1.172916666666666e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2816 1.173333333333333e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2817 1.173750000000000e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2818 1.174166666666666e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2819 1.174583333333333e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2820 1.175000000000000e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2821 1.175416666666666e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2822 1.175833333333333e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2823 1.176250000000000e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2824 1.176666666666666e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2825 1.177083333333333e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2826 1.177500000000000e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2827 1.177916666666666e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2828 1.178333333333333e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2829 1.178750000000000e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2830 1.179166666666666e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2831 1.179583333333333e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2832 1.180000000000000e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2833 1.180416666666666e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2834 1.180833333333333e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2835 1.181250000000000e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2836 1.181666666666666e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2837 1.182083333333333e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2838 1.182500000000000e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2839 1.182916666666666e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2840 1.183333333333333e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2841 1.183750000000000e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2842 1.184166666666666e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2843 1.184583333333333e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2844 1.185000000000000e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2845 1.185416666666666e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2846 1.185833333333333e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2847 1.186250000000000e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2848 1.186666666666666e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2849 1.187083333333333e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2850 1.187500000000000e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2851 1.187916666666666e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2852 1.188333333333333e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2853 1.188750000000000e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2854 1.189166666666666e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2855 1.189583333333333e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2856 1.190000000000000e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2857 1.190416666666666e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2858 1.190833333333333e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
2859 1.191250000000000e-08 2.375010871854205e-28 6.089771466292833e-15 1.088960398264679e-13
2860 1.191666666666666e-08 2.330601942349238e-28 5.975902416280098e-15 9.179159432244885e-14
2861 1.192083333333333e-08 2.408317546711092e-28 6.175173196695107e-15 1.088960398264679e-13
2862 1.192500000000000e-08 2.330601943093700e-28 5.975902418188976e-15 9.179159432244885e-14
