# iT  physTime_s  Qx_m3_per_s  qx_cell_m_per_s  max_abs_ux_m_per_s
49 2.041666666666666e-10 -1.658389550019719e-19 -4.252280897486459e-06 2.108249573269682e-05
50 2.083333333333333e-10 -1.929515122751398e-19 -4.947474673721534e-06 2.352100313293546e-05
51 2.124999999999999e-10 -2.184807743635335e-19 -5.602071137526500e-06 2.585528928333733e-05
52 2.166666666666666e-10 -2.423563279273644e-19 -6.214264818650370e-06 2.807074500711493e-05
53 2.208333333333332e-10 -2.645210033908926e-19 -6.782589830535708e-06 3.015174326749296e-05
54 2.249999999999999e-10 -2.849296406719627e-19 -7.305888222358018e-06 3.208232119635503e-05
55 2.291666666666666e-10 -3.035477998894425e-19 -7.783276920242115e-06 3.384666422119191e-05
56 2.333333333333333e-10 -3.203504765411596e-19 -8.214114783106656e-06 3.542982002486094e-05
57 2.374999999999999e-10 -3.353208474640661e-19 -8.597970447796567e-06 3.702980753336962e-05
58 2.416666666666666e-10 -3.484491056738633e-19 -8.934592453175983e-06 3.872213248042736e-05
59 2.458333333333333e-10 -3.597314087789613e-19 -9.223882276383622e-06 4.018845913311741e-05
60 2.499999999999999e-10 -3.691689913094305e-19 -9.465871572036682e-06 4.142001567491590e-05
61 2.541666666666666e-10 -3.767674573763354e-19 -9.660704035290652e-06 4.241061242380947e-05
62 2.583333333333333e-10 -3.825362877238284e-19 -9.808622762149448e-06 4.315682510050349e-05
63 2.624999999999999e-10 -3.864885597253530e-19 -9.909963069880847e-06 4.365789000486198e-05
64 2.666666666666666e-10 -3.886408897060769e-19 -9.965151018104536e-06 4.398041332730813e-05
65 2.708333333333332e-10 -3.890135730101091e-19 -9.974707000259208e-06 4.433362583509681e-05
66 2.749999999999999e-10 -3.876309050546091e-19 -9.939253975759209e-06 4.444786669698878e-05
67 2.791666666666666e-10 -3.845216367664014e-19 -9.859529147856447e-06 4.432995814467942e-05
68 2.833333333333332e-10 -3.797195284433767e-19 -9.736398165214788e-06 4.398841971510899e-05
69 2.874999999999999e-10 -3.732639421378562e-19 -9.570870311227082e-06 4.343310952260289e-05
70 2.916666666666666e-10 -3.652004296551307e-19 -9.364113580900787e-06 4.284207616140900e-05
71 2.958333333333332e-10 -3.555812580764187e-19 -9.117468155805608e-06 4.210397796623810e-05
72 2.999999999999999e-10 -3.444658351051065e-19 -8.832457310387347e-06 4.118163522948662e-05
73 3.041666666666665e-10 -3.319209909168469e-19 -8.510794638893511e-06 4.015014644890137e-05
74 3.083333333333332e-10 -3.180210951507905e-19 -8.154387055148476e-06 3.899957311149989e-05
75 3.124999999999999e-10 -3.028479865773276e-19 -7.765332989162246e-06 3.769673714584405e-05
76 3.166666666666666e-10 -2.864907152661834e-19 -7.345915776055985e-06 3.625260353268020e-05
77 3.208333333333332e-10 -2.690450965563545e-19 -6.898592219393705e-06 3.467788030644110e-05
78 3.249999999999999e-10 -2.506130947801885e-19 -6.425976789235603e-06 3.298302343652693e-05
79 3.291666666666666e-10 -2.313020539561743e-19 -5.930821896312163e-06 3.117817569102458e-05
80 3.333333333333332e-10 -2.112238060554029e-19 -5.415995027061613e-06 2.927322992116340e-05
81 3.374999999999999e-10 -1.904936832376226e-19 -4.884453416349297e-06 2.727782740023093e-05
82 3.416666666666665e-10 -1.692294702803203e-19 -4.339217186674880e-06 2.520145797200772e-05
83 3.458333333333332e-10 -1.475503267085210e-19 -3.783341710474899e-06 2.305349203355295e-05
84 3.499999999999999e-10 -1.255757124978401e-19 -3.219890064047181e-06 2.084329157753571e-05
85 3.541666666666665e-10 -1.034243431334974e-19 -2.651906234192240e-06 1.858024802863618e-05
86 3.583333333333332e-10 -8.121320241850793e-20 -2.082389805602768e-06 1.627387881444552e-05
87 3.624999999999999e-10 -5.905663071745567e-20 -1.514272582498864e-06 1.393384827096568e-05
88 3.666666666666665e-10 -3.706550727834591e-20 -9.503976225216901e-07 1.157003081059902e-05
89 3.708333333333332e-10 -1.534653668283065e-20 -3.935009405854014e-07 9.192500053064960e-06
90 3.749999999999998e-10 5.998353252717734e-21 1.538039295568650e-07 7.546399225908686e-06
91 3.791666666666665e-10 2.687250067958880e-20 6.890384789638154e-07 8.923647234228983e-06
92 3.833333333333332e-10 4.718488720292446e-20 1.209868902639089e-06 1.024164931585360e-05
93 3.874999999999999e-10 6.685041062780402e-20 1.714113093020616e-06 1.149525164896772e-05
94 3.916666666666666e-10 8.579006024551109e-20 2.199745134500284e-06 1.267926739742353e-05
95 3.958333333333332e-10 1.039310073355839e-19 2.664897623989332e-06 1.385160058717586e-05
96 3.999999999999999e-10 1.212066224858498e-19 3.107862115021789e-06 1.543556391437610e-05
97 4.041666666666665e-10 1.375564346190889e-19 3.527088067156126e-06 1.692261337573780e-05
98 4.083333333333332e-10 1.529260444326462e-19 3.921180626478109e-06 1.830614721877542e-05
99 4.124999999999999e-10 1.672670077528492e-19 4.288897634688441e-06 1.958005987927778e-05
100 4.166666666666665e-10 1.805366998879586e-19 4.629146150973298e-06 2.073883744938630e-05
101 4.208333333333332e-10 1.926981739044988e-19 4.940978818064074e-06 2.177765695003743e-05
102 4.249999999999999e-10 2.037200211845412e-19 5.223590286783109e-06 2.269245953452678e-05
103 4.291666666666665e-10 2.135762431818070e-19 5.476313927738640e-06 2.369196705242282e-05
104 4.333333333333332e-10 2.222461381435765e-19 5.698618926758372e-06 2.468093939750579e-05
105 4.374999999999998e-10 2.297142078593571e-19 5.890107893829671e-06 2.553056690330561e-05
106 4.416666666666665e-10 2.359700829095667e-19 6.050514946399146e-06 2.623894586300792e-05
107 4.458333333333332e-10 2.410084677405799e-19 6.179704301040510e-06 2.680512138489697e-05
108 4.499999999999998e-10 2.448291003168182e-19 6.277669238892776e-06 2.722906470309748e-05
109 4.541666666666665e-10 2.474367232971400e-19 6.344531366593334e-06 2.751164720575724e-05
110 4.583333333333332e-10 2.488410602468316e-19 6.380540006329014e-06 2.778242397083158e-05
111 4.624999999999999e-10 2.490567908126502e-19 6.386071559298724e-06 2.799860809796980e-05
112 4.666666666666665e-10 2.481035176992408e-19 6.361628658954892e-06 2.807565909425750e-05
113 4.708333333333332e-10 2.460057189680327e-19 6.307838947898276e-06 2.801657536121450e-05
114 4.749999999999998e-10 2.427926788002174e-19 6.225453302569676e-06 2.782498650655736e-05
115 4.791666666666665e-10 2.384983916721025e-19 6.115343376207757e-06 2.753223036644124e-05
116 4.833333333333331e-10 2.331614345841711e-19 5.978498322671055e-06 2.722201556946941e-05
117 4.874999999999998e-10 2.268248043436491e-19 5.816020624196131e-06 2.679013040616488e-05
118 4.916666666666665e-10 2.195357174262655e-19 5.629120959647832e-06 2.624149937066146e-05
119 4.958333333333331e-10 2.113453714137500e-19 5.419112087532052e-06 2.564669228705074e-05
120 4.999999999999998e-10 2.023086692033313e-19 5.187401774444392e-06 2.494553059181706e-05
121 5.041666666666665e-10 1.924839076451343e-19 4.935484811413699e-06 2.414251182447709e-05
122 5.083333333333331e-10 1.819324330668064e-19 4.664934181200164e-06 2.324347029633647e-05
123 5.124999999999998e-10 1.707182691465585e-19 4.377391516578423e-06 2.225447252612032e-05
124 5.166666666666665e-10 1.589077209904259e-19 4.074556948472460e-06 2.118179155853338e-05
125 5.208333333333331e-10 1.465689615484715e-19 3.758178501242860e-06 2.003188905072069e-05
126 5.249999999999998e-10 1.337716064152805e-19 3.430041190135399e-06 1.881139644253313e-05
127 5.291666666666664e-10 1.205862827051951e-19 3.091955966799876e-06 1.752709998331958e-05
128 5.333333333333331e-10 1.070841989850361e-19 2.745748691924003e-06 1.618592386763919e-05
129 5.374999999999998e-10 9.333672080734507e-20 2.393249251470386e-06 1.479491580976344e-05
130 5.416666666666665e-10 7.941495804511195e-20 2.036280975515691e-06 1.336122782941646e-05
131 5.458333333333332e-10 6.538936861006401e-20 1.676650477181129e-06 1.189209902111352e-05
132 5.499999999999998e-10 5.132938223601528e-20 1.316138006051674e-06 1.039483191381209e-05
133 5.541666666666665e-10 3.730304760447025e-20 9.564884001146219e-07 8.876770011100024e-06
134 5.583333333333332e-10 2.337670562079066e-20 5.994027082254017e-07 7.345268677446957e-06
135 5.624999999999998e-10 9.614689431749293e-21 2.465304982499819e-07 5.807666857123096e-06
136 5.666666666666665e-10 -3.920946804175497e-21 -1.005370975429615e-07 4.921191648606132e-06
137 5.708333333333332e-10 -1.717067144903112e-20 -4.402736268982340e-07 5.812456713952698e-06
138 5.749999999999998e-10 -3.007769122070336e-20 -7.712228518129067e-07 6.660574349336232e-06
139 5.791666666666665e-10 -4.258814048538702e-20 -1.092003602189411e-06 7.462237903505922e-06
140 5.833333333333332e-10 -5.465124557521937e-20 -1.401313989108189e-06 8.214372151199452e-06
141 5.874999999999998e-10 -6.621946590891396e-20 -1.697935023305486e-06 8.968983070036303e-06
142 5.916666666666665e-10 -7.724861398910598e-20 -1.980733692028358e-06 9.970349922859739e-06
143 5.958333333333331e-10 -8.769795588216186e-20 -2.248665535440048e-06 1.090594169039999e-05
144 5.999999999999998e-10 -9.753029447805984e-20 -2.500776781488714e-06 1.177234693485115e-05
145 6.041666666666665e-10 -1.067120371286923e-19 -2.736206080222879e-06 1.256655028179334e-05
146 6.083333333333331e-10 -1.152132491778239e-19 -2.954185876354459e-06 1.328595129387018e-05
147 6.124999999999998e-10 -1.230076946927690e-19 -3.154043453660745e-06 1.392837861920030e-05
148 6.166666666666664e-10 -1.300728654941334e-19 -3.335201679336753e-06 1.449210061333557e-05
149 6.208333333333331e-10 -1.363899987095500e-19 -3.497179454091026e-06 1.511935187416591e-05
150 6.249999999999998e-10 -1.419440837347778e-19 -3.639591890635328e-06 1.573432029014294e-05
151 6.291666666666664e-10 -1.467238580947901e-19 -3.762150207558722e-06 1.626237804224394e-05
152 6.333333333333331e-10 -1.507217924196817e-19 -3.864661344094402e-06 1.670269335138820e-05
153 6.374999999999998e-10 -1.539340639417944e-19 -3.947027280558832e-06 1.705490271946404e-05
154 6.416666666666664e-10 -1.563605177041553e-19 -4.009244043696288e-06 1.731910018977146e-05
155 6.458333333333331e-10 -1.580046153453325e-19 -4.051400393470066e-06 1.749582325089026e-05
156 6.499999999999998e-10 -1.588733703046000e-19 -4.073676161656410e-06 1.767401425244507e-05
157 6.541666666666664e-10 -1.589772692842050e-19 -4.076340238056538e-06 1.781318030055095e-05
158 6.583333333333331e-10 -1.583301789323476e-19 -4.059748177752502e-06 1.786536576668809e-05
159 6.624999999999997e-10 -1.569492378786174e-19 -4.024339432785061e-06 1.783213154301739e-05
160 6.666666666666664e-10 -1.548547335327294e-19 -3.970634193146909e-06 1.771540837029518e-05
161 6.708333333333331e-10 -1.520699641043416e-19 -3.899229848829273e-06 1.753817394597879e-05
162 6.749999999999997e-10 -1.486210856050698e-19 -3.810797066796662e-06 1.734628338251012e-05
163 6.791666666666664e-10 -1.445369452785818e-19 -3.706075519963637e-06 1.707656501562354e-05
164 6.833333333333330e-10 -1.398489010964674e-19 -3.585869258883781e-06 1.673241052852849e-05
165 6.874999999999997e-10 -1.345906293412300e-19 -3.451041777980258e-06 1.635793552133354e-05
166 6.916666666666664e-10 -1.287979210285763e-19 -3.302510795604521e-06 1.591393845570331e-05
167 6.958333333333331e-10 -1.225084688657949e-19 -3.141242791430640e-06 1.540385758132248e-05
168 6.999999999999998e-10 -1.157616462722257e-19 -2.968247340313479e-06 1.483135985011769e-05
169 7.041666666666665e-10 -1.085982799939265e-19 -2.784571281895550e-06 1.420032122090112e-05
170 7.083333333333331e-10 -1.010604186008936e-19 -2.591292784638297e-06 1.351480734889147e-05
171 7.124999999999998e-10 -9.319109803256874e-20 -2.389515334168429e-06 1.277905308729619e-05
172 7.166666666666665e-10 -8.503410664485617e-20 -2.180361708842466e-06 1.199744275067344e-05
173 7.208333333333331e-10 -7.663375100765030e-20 -1.964967974555136e-06 1.117448947507651e-05
174 7.249999999999998e-10 -6.803462444942541e-20 -1.744477549985267e-06 1.031481454039686e-05
175 7.291666666666664e-10 -5.928137979994858e-20 -1.520035379485861e-06 9.423125780758702e-06
176 7.333333333333331e-10 -5.041850782899180e-20 -1.292782252025431e-06 8.504196792496683e-06
177 7.374999999999998e-10 -4.149012217522298e-20 -1.063849286544179e-06 7.562844315212136e-06
178 7.416666666666664e-10 -3.253975282177870e-20 -8.343526364558641e-07 6.603906782264175e-06
