case,run_id,PASS,steps_completed,max_Mach,first_Mach_over_threshold_step,rho_min,rho_max,first_rho_threshold_step,first_nonfinite_step,max_speed_m_s,max_speed_location,initial_mass_kg,final_mass_kg,final_low_outward_flux_kg_s,final_high_outward_flux_kg_s,final_net_outward_flux_kg_s,cumulative_outward_mass_kg,max_abs_relative_mass_balance_residual,max_invalid_links,material_conversions,material_field_unchanged
Z0_ZouHe_fixed_zero,zouhe_pressure_Z0_zero_fixed_650_20260908,true,650,0,-1,1,1,-1,-1,0,"0,0,0",7.1999999999946862e-18,7.1999999999946862e-18,0,0,0,0,0,0,0,true
Z1_ZouHe_fixed_nonzero,zouhe_pressure_Z1_nonzero_fixed_650_20260908,true,650,5.0152543531662641e-05,-1,0.99999899999999997,1.0000009999999999,-1,-1,,,5.1199997013333897e-19,5.120000085333259e-19,-9.2231111101611328e-14,9.2657777769488787e-14,4.2666666787745939e-16,,2.9251079072461844e-14,,,
Z1_LocalPressure_fixed_nonzero,localpressure_fixed_nonzero_profile_650_20260908,true,650,5.0152542982464496e-05,-1,0.99999899999999997,1.0000009999999999,-1,-1,,,5.1199997013333897e-19,5.1200000853332542e-19,-9.2231110084467759e-14,9.2657776754834838e-14,4.2666667036707916e-16,,2.9134732880742518e-14,,,
S_ZouHe_separated_moving,zouhe_pressure_separated_moving_650_20260908,true,650,3.8045551481117472e-05,-1,0.99997891346426493,1.0003640958250091,-1,-1,0.01098280469454547,"35,28,35",8.4000000000005038e-18,8.4011798283535184e-18,5.6257970073665678e-14,5.6257970073660131e-14,1.125159401473258e-13,2.520546882146971e-22,0.00017046226681300072,0,0,true
S_LocalPressure_separated_moving,moving_piston_pressure_separated_C650_20260908,false,650,151018095206.53931,247,-67558775934.622543,82861670855.986786,278,-1,43595168960000.008,"47,0,13",8.4000000000005038e-18,1.403152169520951e-11,,,,,1446.0184295043412,0,0,true
C_ZouHe_patch,zouhe_pressure_Cpatch_650_20260908,true,650,6.1829116816418037e-05,-1,0.99987883917914711,1.0002955951371546,-1,-1,0.017848528618857887,"9,0,14",7.1999999999946862e-18,7.2004430578547148e-18,2.1014344248249934e-13,2.1014344248251878e-13,4.2028688496501811e-13,9.5656885850207806e-22,0.00019439259979607998,0,0,true
C_ZouHe_no_patch,zouhe_pressure_Cnopatch_650_20260908,true,650,6.1829116816418037e-05,-1,0.99987883917914711,1.0002955951371546,-1,-1,0.017848528618857887,"9,0,14",7.1999999999946862e-18,7.2004430578547148e-18,2.1014344248249934e-13,2.1014344248251878e-13,4.2028688496501811e-13,9.5656885850207806e-22,0.00019439259979607998,0,0,true
C_LocalPressure_periodic_links,boundary_intersection_periodic_link_fix_C650_20260907,false,650,940353068005.38525,209,-538276231996.70685,436881649806.72888,236,-1,271456548473099.81,"0,0,13",7.1999999999946862e-18,3.4946577263043887e-09,,,,-3.5266580127956739e-09,4444485.2349040247,0,0,true
