step,time_s,fluid_nodes,fluid_volume_m3,fluid_mass_kg,fluid_mass_signed_rel,fluid_mass_abs_rel,max_density_deviation,volume_mean_ux_m_s,max_abs_ux_m_s,Qx_legacy_m3_s,qx_legacy_m_s,Bxx_numerical_residual_m2,Qx_plane_groove1_m3_s,Qx_plane_groove2_m3_s,nonfinite_count,all_finite
95,3.9583333333333321e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,6.1863694842610543e-06,1.3851600587175863e-05,1.0393100733558567e-19,2.6648976239893765e-06,2.6648976239893765e-18,1.5732928550287739e-19,1.5732928550287739e-19,0,1
96,3.9999999999999986e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,7.2146799098721555e-06,1.5435563914376099e-05,1.2120662248585217e-19,3.1078621150218507e-06,3.1078621150218510e-18,1.8446877900020619e-19,1.8446877900020619e-19,0,1
97,4.0416666666666651e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,8.1878830130408703e-06,1.6922613375737803e-05,1.3755643461908657e-19,3.5270880671560663e-06,3.5270880671560663e-18,2.1029740900448233e-19,2.1029740900448233e-19,0,1
98,4.0833333333333316e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,9.1027407400382199e-06,1.8306147218775420e-05,1.5292604443264202e-19,3.9211806264780007e-06,3.9211806264780002e-18,2.3469781796991034e-19,2.3469781796991034e-19,0,1
99,4.1249999999999987e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,9.9563695090981181e-06,1.9580059879277781e-05,1.6726700775284832e-19,4.2888976346884186e-06,4.2888976346884185e-18,2.5756044048654056e-19,2.5756044048654056e-19,0,1
100,4.1666666666666652e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,1.0746232136187985e-05,2.0738837449386300e-05,1.8053669988795809e-19,4.6291461509732842e-06,4.6291461509732849e-18,2.7878483996213876e-19,2.7878483996213876e-19,0,1
101,4.2083333333333317e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,1.1470129399076690e-05,2.1777656950037425e-05,1.9269817390448832e-19,4.9409788180638034e-06,4.9409788180638034e-18,2.9828117418319209e-19,2.9828117418319209e-19,0,1
102,4.2499999999999988e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,1.2126191737175664e-05,2.2692459534526783e-05,2.0372002118455106e-19,5.2235902867833606e-06,5.2235902867833609e-18,3.1597119772194333e-19,3.1597119772194333e-19,0,1
103,4.2916666666666653e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,1.2712871617963975e-05,2.3691967052422817e-05,2.1357624318179470e-19,5.4763139277383262e-06,5.4763139277383258e-18,3.3178928374569097e-19,3.3178928374569097e-19,0,1
104,4.3333333333333318e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,1.3228936794260140e-05,2.4680939397505785e-05,2.2224613814357027e-19,5.6986189267582124e-06,5.6986189267582129e-18,3.4568295731907235e-19,3.4568295731907235e-19,0,1
105,4.3749999999999983e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,1.3673464753533687e-05,2.5530566903305614e-05,2.2971420785936586e-19,5.8901078938298944e-06,5.8901078938298939e-18,3.5761338707298344e-19,3.5761338707298344e-19,0,1
106,4.4166666666666649e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,1.4045838268426222e-05,2.6238945863007924e-05,2.3597008290956044e-19,6.0505149463989861e-06,6.0505149463989868e-18,3.6755541027784884e-19,3.6755541027784884e-19,0,1
107,4.4583333333333319e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,1.4345742127415170e-05,2.6805121384896968e-05,2.4100846774057477e-19,6.1797043010403795e-06,6.1797043010403793e-18,3.7549749895961684e-19,3.7549749895961684e-19,0,1
108,4.4999999999999984e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,1.4573160733144401e-05,2.7229064703097480e-05,2.4482910031682589e-19,6.2776692388929723e-06,6.2776692388929726e-18,3.8144131512663497e-19,3.8144131512663497e-19,0,1
109,4.5416666666666649e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,1.4728376386734909e-05,2.7511647205757240e-05,2.4743672329714637e-19,6.3445313665934970e-06,6.3445313665934971e-18,3.8540123096235473e-19,3.8540123096235473e-19,0,1
110,4.5833333333333320e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,1.4811967871835930e-05,2.7782423970831576e-05,2.4884106024684349e-19,6.3805400063293203e-06,6.3805400063293205e-18,3.8740351562248680e-19,3.8740351562248680e-19,0,1
111,4.6249999999999985e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,1.4824808976943464e-05,2.7998608097969804e-05,2.4905679081265008e-19,6.3860715592987201e-06,6.3860715592987200e-18,3.8748553741985394e-19,3.8748553741985394e-19,0,1
112,4.6666666666666650e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,1.4768066529717387e-05,2.8075659094257498e-05,2.4810351769925202e-19,6.3616286589551802e-06,6.3616286589551805e-18,3.8569472163583786e-19,3.8569472163583786e-19,0,1
113,4.7083333333333321e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,1.4643197557621345e-05,2.8016575361214497e-05,2.4600571896803851e-19,6.3078389478984232e-06,6.3078389478984234e-18,3.8208758390248804e-19,3.8208758390248804e-19,0,1
114,4.7499999999999981e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,1.4451945166679649e-05,2.7824986506557362e-05,2.4279267880021803e-19,6.2254533025696933e-06,6.2254533025696936e-18,3.7672860586634189e-19,3.7672860586634189e-19,0,1
115,4.7916666666666651e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,1.4196332837625421e-05,2.7532230366441238e-05,2.3849839167210699e-19,6.1153433762078716e-06,6.1153433762078719e-18,3.6968924339068009e-19,3.6968924339068009e-19,0,1
116,4.8333333333333311e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,1.3878656820486070e-05,2.7222015569469407e-05,2.3316143458416589e-19,5.9784983226709205e-06,5.9784983226709204e-18,3.6104685218825621e-19,3.6104685218825621e-19,0,1
117,4.8749999999999982e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,1.3501476449026902e-05,2.6790130406164877e-05,2.2682480434365186e-19,5.8160206241962018e-06,5.8160206241962022e-18,3.5088378831862841e-19,3.5088378831862841e-19,0,1
118,4.9166666666666652e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,1.3067602227753801e-05,2.6241499370661458e-05,2.1953571742626377e-19,5.6291209596477891e-06,5.6291209596477896e-18,3.3928648311035676e-19,3.3928648311035676e-19,0,1
119,4.9583333333333312e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,1.2580081631771053e-05,2.5646692287050739e-05,2.1134537141375361e-19,5.4191120875321440e-06,5.4191120875321434e-18,3.2634470913039860e-19,3.2634470913039860e-19,0,1
120,4.9999999999999982e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,1.2042182690675477e-05,2.4945530591817057e-05,2.0230866920334794e-19,5.1874017744448189e-06,5.1874017744448197e-18,3.1215085611442030e-19,3.1215085611442030e-19,0,1
121,5.0416666666666653e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,1.1457375455067793e-05,2.4142511824477088e-05,1.9248390764513886e-19,4.9354848114138168e-06,4.9354848114138166e-18,2.9679940071539371e-19,2.9679940071539371e-19,0,1
122,5.0833333333333313e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,1.0829311492071880e-05,2.3243470296336472e-05,1.8193243306680750e-19,4.6649341812001922e-06,4.6649341812001929e-18,2.8038638907750979e-19,2.8038638907750979e-19,0,1
123,5.1249999999999983e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,1.0161801734914966e-05,2.2254472526120317e-05,1.7071826914657138e-19,4.3773915165787538e-06,4.3773915165787545e-18,2.6300909499849859e-19,2.6300909499849859e-19,0,1
124,5.1666666666666654e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,9.4587929160971997e-06,2.1181791558533379e-05,1.5890772099043287e-19,4.0745569484726376e-06,4.0745569484726380e-18,2.4476568053889746e-19,2.4476568053889746e-19,0,1
125,5.2083333333333314e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,8.7243429493140344e-06,2.0031889050720686e-05,1.4656896154847573e-19,3.7581785012429677e-06,3.7581785012429685e-18,2.2575500071606186e-19,2.2575500071606186e-19,0,1
126,5.2499999999999984e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,7.9625956199571177e-06,1.8811396442533132e-05,1.3377160641527952e-19,3.4300411901353727e-06,3.4300411901353725e-18,2.0607638411520351e-19,2.0607638411520351e-19,0,1
127,5.2916666666666644e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,7.1777549229286046e-06,1.7527099983319584e-05,1.2058628270520052e-19,3.0919559668000132e-06,3.0919559668000131e-18,1.8582951449521629e-19,1.8582951449521629e-19,0,1
128,5.3333333333333315e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,6.3740594633950321e-06,1.6185923867639185e-05,1.0708419898503651e-19,2.7457486919240134e-06,2.7457486919240136e-18,1.6511427159157108e-19,1.6511427159157108e-19,0,1
129,5.3749999999999985e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,5.5557571909133863e-06,1.4794915809763442e-05,9.3336720807344861e-20,2.3932492514703814e-06,2.3932492514703812e-18,1.4403061993858481e-19,1.4403061993858481e-19,0,1
130,5.4166666666666645e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,4.7270808360184674e-06,1.3361227829416462e-05,7.9414958045110221e-20,2.0362809755156470e-06,2.0362809755156470e-18,1.2267843828143034e-19,1.2267843828143034e-19,0,1
131,5.4583333333333315e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,3.8922243220274410e-06,1.1892099021113517e-05,6.5389368610060981e-20,1.6766504771810510e-06,1.6766504771810510e-18,1.0115736412715105e-19,1.0115736412715105e-19,0,1
132,5.4999999999999976e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,3.0553203711910831e-06,1.0394831913812094e-05,5.1329382236010184e-20,1.3161380060515432e-06,1.3161380060515433e-18,7.9566561805747486e-20,7.9566561805747486e-20,0,1
133,5.5416666666666646e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,2.2204195002661491e-06,8.8767700111000236e-06,3.7303047604471290e-20,9.5648840011464859e-07,9.5648840011464856e-19,5.8004483705615881e-20,5.8004483705615881e-20,0,1
134,5.5833333333333316e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,1.3914705726661339e-06,7.3452686774469568e-06,2.3376705620791040e-20,5.9940270822541136e-07,5.9940270822541140e-19,3.6568550600370643e-20,3.6568550600370643e-20,0,1
135,5.6249999999999976e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,5.7230294236601838e-07,5.8076668571230957e-06,9.6146894317491046e-21,2.4653049824997703e-07,2.4653049824997702e-19,1.5354815757532821e-20,1.5354815757532821e-20,0,1
136,5.6666666666666647e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-2.3338969072472302e-07,4.9211916486061323e-06,-3.9209468041753451e-21,-1.0053709754295757e-07,-1.0053709754295757e-19,-5.5424426421064076e-21,-5.5424426421064076e-21,0,1
137,5.7083333333333317e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-1.0220637767280587e-06,5.8124567139526984e-06,-1.7170671449031378e-20,-4.4027362689824047e-07,-4.4027362689824051e-19,-2.6031140982269800e-20,-2.6031140982269800e-20,0,1
138,5.7499999999999977e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-1.7903387631371265e-06,6.6605743493362317e-06,-3.0077691220703716e-20,-7.7122285181291585e-07,-7.7122285181291588e-19,-4.6021865346679355e-20,-4.6021865346679355e-20,0,1
139,5.7916666666666648e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-2.5350083622253437e-06,7.4622379035059220e-06,-4.2588140485385757e-20,-1.0920036021893784e-06,-1.0920036021893784e-18,-6.5428343332756026e-20,-6.5428343332756026e-20,0,1
140,5.8333333333333318e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-3.2530503318584257e-06,8.2143721511994525e-06,-5.4651245575221537e-20,-1.4013139891082445e-06,-1.4013139891082444e-18,-8.4167947138078020e-20,-8.4167947138078020e-20,0,1
141,5.8749999999999978e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-3.9416348755305756e-06,8.9689830700363028e-06,-6.6219465908913658e-20,-1.6979350233054786e-06,-1.6979350233054786e-18,-1.0216217350091751e-19,-1.0216217350091751e-19,0,1
142,5.9166666666666648e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-4.5981317850656244e-06,9.9703499228597390e-06,-7.7248613989102461e-20,-1.9807336920282682e-06,-1.9807336920282683e-18,-1.1933713057744010e-19,-1.1933713057744010e-19,0,1
143,5.9583333333333309e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-5.2201164215573320e-06,1.0905941690399993e-05,-8.7697955882163149e-20,-2.2486655354400808e-06,-2.2486655354400809e-18,-1.3562397572041292e-19,-1.3562397572041292e-19,0,1
144,5.9999999999999979e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-5.8053746713133197e-06,1.1772346934851151e-05,-9.7530294478063727e-20,-2.5007767814888136e-06,-2.5007767814888136e-18,-1.5095934096107714e-19,-1.5095934096107714e-19,0,1
145,6.0416666666666649e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-6.3519069719459995e-06,1.2566550281793337e-05,-1.0671203712869275e-19,-2.7362060802228910e-06,-2.7362060802228911e-18,-1.6528568895552804e-19,-1.6528568895552804e-19,0,1
146,6.0833333333333309e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-6.8579314986801689e-06,1.3285951293870179e-05,-1.1521324917782679e-19,-2.9541858763545333e-06,-2.9541858763545337e-18,-1.7855163745406692e-19,-1.7855163745406692e-19,0,1
147,6.1249999999999980e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-7.3218865888557457e-06,1.3928378619200297e-05,-1.2300769469277645e-19,-3.1540434536609349e-06,-3.1540434536609348e-18,-1.9071220297294587e-19,-1.9071220297294587e-19,0,1
148,6.1666666666666640e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-7.7424324698887931e-06,1.4492100613335569e-05,-1.3007286549413168e-19,-3.3352016793367101e-06,-3.3352016793367102e-18,-2.0172900201563348e-19,-2.0172900201563348e-19,0,1
149,6.2083333333333310e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-8.1184523041397148e-06,1.5119351874165912e-05,-1.3638999870954715e-19,-3.4971794540909527e-06,-3.4971794540909525e-18,-2.1157036289448203e-19,-2.1157036289448203e-19,0,1
150,6.2499999999999981e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-8.4490526032606619e-06,1.5734320290142938e-05,-1.4194408373477907e-19,-3.6395918906353610e-06,-3.6395918906353612e-18,-2.2021139771758960e-19,-2.2021139771758960e-19,0,1
151,6.2916666666666641e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-8.7335629818328062e-06,1.6262378042243944e-05,-1.4672385809479109e-19,-3.7621502075587462e-06,-3.7621502075587463e-18,-2.2763398393689865e-19,-2.2763398393689865e-19,0,1
152,6.3333333333333311e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-8.9715352630765677e-06,1.6702693351388196e-05,-1.5072179241968629e-19,-3.8646613440945204e-06,-3.8646613440945206e-18,-2.3382670918787426e-19,-2.3382670918787426e-19,0,1
153,6.3749999999999981e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-9.1627419012976489e-06,1.7054902719464043e-05,-1.5393406394180047e-19,-3.9470272805589870e-06,-3.9470272805589870e-18,-2.3878473925290118e-19,-2.3878473925290118e-19,0,1
154,6.4166666666666642e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-9.3071736728667822e-06,1.7319100189771459e-05,-1.5636051770416187e-19,-4.0092440436964587e-06,-4.0092440436964588e-18,-2.4250965452544482e-19,-2.4250965452544482e-19,0,1
155,6.4583333333333312e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-9.4050366276980116e-06,1.7495823250890257e-05,-1.5800461534532653e-19,-4.0514003934699109e-06,-4.0514003934699111e-18,-2.4500922284064354e-19,-2.4500922284064354e-19,0,1
156,6.4999999999999982e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-9.4567482324168724e-06,1.7674014252445070e-05,-1.5887337030460340e-19,-4.0736761616564978e-06,-4.0736761616564978e-18,-2.4629715677168380e-19,-2.4629715677168380e-19,0,1
157,6.5416666666666642e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-9.4629326954884561e-06,1.7813180300550945e-05,-1.5897726928420599e-19,-4.0763402380565639e-06,-4.0763402380565639e-18,-2.4639282142354077e-19,-2.4639282142354077e-19,0,1
158,6.5833333333333313e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-9.4244154126403471e-06,1.7865365766688085e-05,-1.5833017893235777e-19,-4.0597481777527633e-06,-4.0597481777527633e-18,-2.4532093699978649e-19,-2.4532093699978649e-19,0,1
159,6.6249999999999973e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-9.3422165403938529e-06,1.7832131543017393e-05,-1.5694923787861670e-19,-4.0243394327850442e-06,-4.0243394327850436e-18,-2.4311124948380087e-19,-2.4311124948380087e-19,0,1
160,6.6666666666666643e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-9.2175436626624759e-06,1.7715408370295179e-05,-1.5485473353272953e-19,-3.9706341931469115e-06,-3.9706341931469118e-18,-2.3979820716418614e-19,-2.3979820716418614e-19,0,1
161,6.7083333333333314e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-9.0517835776397059e-06,1.7538173945978790e-05,-1.5206996410434699e-19,-3.8992298488294101e-06,-3.8992298488294099e-18,-2.3542061944102827e-19,-2.3542061944102827e-19,0,1
162,6.7499999999999974e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-8.8464931907779489e-06,1.7346283382510122e-05,-1.4862108560506949e-19,-3.8107970667966537e-06,-3.8107970667966536e-18,-2.3002132572630283e-19,-2.3002132572630283e-19,0,1
163,6.7916666666666644e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-8.6033895999154060e-06,1.7076565015623542e-05,-1.4453694527857875e-19,-3.7060755199635578e-06,-3.7060755199635576e-18,-2.2364685951703731e-19,-2.2364685951703731e-19,0,1
164,6.8333333333333304e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-8.3243393509800577e-06,1.6732410528528488e-05,-1.3984890109646492e-19,-3.5858692588837162e-06,-3.5858692588837166e-18,-2.1634712734989106e-19,-2.1634712734989106e-19,0,1
165,6.8749999999999975e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-8.0113469845973285e-06,1.6357935521333543e-05,-1.3459062934123507e-19,-3.4510417779803867e-06,-3.4510417779803871e-18,-2.0817508650785423e-19,-2.0817508650785423e-19,0,1
166,6.9166666666666645e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-7.6665429183676346e-06,1.5913938455703313e-05,-1.2879792102857620e-19,-3.3025107956045181e-06,-3.3025107956045182e-18,-1.9918644049939844e-19,-1.9918644049939844e-19,0,1
167,6.9583333333333305e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-7.2921707658210078e-06,1.5403857581322482e-05,-1.2250846886579288e-19,-3.1412427914305871e-06,-3.1412427914305871e-18,-1.8943933275681189e-19,-1.8943933275681189e-19,0,1
168,6.9999999999999975e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-6.8905741828706002e-06,1.4831359850117688e-05,-1.1576164627222602e-19,-2.9682473403134882e-06,-2.9682473403134882e-18,-1.7899406076266865e-19,-1.7899406076266865e-19,0,1
169,7.0416666666666646e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-6.4641833329718864e-06,1.4200321220901122e-05,-1.0859827999392764e-19,-2.7845712818955810e-06,-2.7845712818955812e-18,-1.6791278273333108e-19,-1.6791278273333108e-19,0,1
170,7.0833333333333306e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-6.0155011071961586e-06,1.3514807348891474e-05,-1.0106041860089543e-19,-2.5912927846383445e-06,-2.5912927846383445e-18,-1.5625924424652000e-19,-1.5625924424652000e-19,0,1
171,7.1249999999999976e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-5.5470891686053637e-06,1.2779053087296187e-05,-9.3191098032570074e-20,-2.3895153341684635e-06,-2.3895153341684635e-18,-1.4409849408195293e-19,-1.4409849408195293e-19,0,1
172,7.1666666666666647e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-5.0615539669557827e-06,1.1997442750673442e-05,-8.5034106644857118e-20,-2.1803617088424902e-06,-2.1803617088424901e-18,-1.3149661715496494e-19,-1.3149661715496494e-19,0,1
173,7.2083333333333307e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-4.5615327980742382e-06,1.1174489475076514e-05,-7.6633751007647166e-20,-1.9649679745550555e-06,-1.9649679745550555e-18,-1.1852045258204298e-19,-1.1852045258204298e-19,0,1
174,7.2499999999999977e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-4.0496800267514221e-06,1.0314814540396864e-05,-6.8034624449423877e-20,-1.7444775499852278e-06,-1.7444775499852280e-18,-1.0523732426965916e-19,-1.0523732426965916e-19,0,1
175,7.2916666666666637e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-3.5286535595209202e-06,9.4231257807587022e-06,-5.9281379799951445e-20,-1.5200353794859345e-06,-1.5200353794859344e-18,-9.1714759792478248e-20,-9.1714759792478248e-20,0,1
176,7.3333333333333308e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-3.0011016564874730e-06,8.5041967924966832e-06,-5.0418507828989522e-20,-1.2927822520253724e-06,-1.2927822520253724e-18,-7.8020216217121227e-20,-7.8020216217121227e-20,0,1
177,7.3749999999999978e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-2.4696501294775772e-06,7.5628443152121358e-06,-4.1490122175223281e-20,-1.0638492865441868e-06,-1.0638492865441868e-18,-6.4220793109511721e-20,-6.4220793109511721e-20,0,1
178,7.4166666666666638e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-1.9368900489153931e-06,6.6039067822641750e-06,-3.2539752821778593e-20,-8.3435263645586142e-07,-8.3435263645586145e-19,-5.0382953269376681e-20,-5.0382953269376681e-20,0,1
179,7.4583333333333308e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-1.4053659612419384e-06,5.6322214427738905e-06,-2.3610148148864556e-20,-6.0538841407345021e-07,-6.0538841407345031e-19,-3.6572234654015941e-20,-3.6572234654015941e-20,0,1
180,7.4999999999999968e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-8.7756469066279216e-07,4.6526024865299996e-06,-1.4743086803134905e-20,-3.7802786674704885e-07,-3.7802786674704886e-19,-2.2852970553250414e-20,-2.2852970553250414e-20,0,1
181,7.5416666666666639e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-3.5590475254387719e-07,3.6698181807960207e-06,-5.9791998427371341e-21,-1.5331281648043935e-07,-1.5331281648043937e-19,-9.2880020016906925e-21,-9.2880020016906925e-21,0,1
182,7.5833333333333309e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,1.5727359868061981e-07,3.1681701976175901e-06,2.6421964578344117e-21,6.7748627123959278e-08,6.7748627123959281e-20,4.0615941148824332e-21,4.0615941148824332e-21,0,1
183,7.6249999999999969e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,6.5971765160040203e-07,3.7367407623653215e-06,1.1083256546886750e-20,2.8418606530478847e-07,2.8418606530478846e-19,1.7136782628596271e-20,1.7136782628596271e-20,0,1
184,7.6666666666666640e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,1.1492708437096954e-06,4.2768767020579261e-06,1.9307750174322876e-20,4.9507051729033020e-07,4.9507051729033019e-19,2.9880827292633668e-20,2.9880827292633668e-20,0,1
185,7.7083333333333310e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,1.6238807022554432e-06,4.7865425745103072e-06,2.7281195797891437e-20,6.9951784097157533e-07,6.9951784097157529e-19,4.2239545479717958e-20,4.2239545479717958e-20,0,1
186,7.7499999999999970e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,2.0816060888612565e-06,5.2638814725018944e-06,3.4970982292869100e-20,8.9669185366331035e-07,8.9669185366331041e-19,5.4161542687860589e-20,5.4161542687860589e-20,0,1
187,7.7916666666666641e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,2.5206237671237655e-06,5.7491912868898012e-06,4.2346479287679246e-20,1.0858071612225449e-06,1.0858071612225449e-18,6.5598434522792328e-20,6.5598434522792328e-20,0,1
188,7.8333333333333311e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,2.9392342892514425e-06,6.3845917782720283e-06,4.9379136059424211e-20,1.2661316938313901e-06,1.2661316938313901e-18,7.6505045627726208e-20,7.6505045627726208e-20,0,1
189,7.8749999999999971e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,3.3358672096962950e-06,6.9775912646968730e-06,5.6042569122897730e-20,1.4369889518691727e-06,1.4369889518691727e-18,8.6839593922645314e-20,8.6839593922645314e-20,0,1
190,7.9166666666666641e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,3.7090856200507421e-06,7.5261710128354391e-06,6.2312638416852445e-20,1.5977599594064730e-06,1.5977599594064729e-18,9.6563845080736520e-20,9.6563845080736520e-20,0,1
191,7.9583333333333301e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,4.0575900290130799e-06,8.0285652018646131e-06,6.8167512487419723e-20,1.7478849355748649e-06,1.7478849355748648e-18,1.0564324855735361e-19,1.0564324855735361e-19,0,1
192,7.9999999999999972e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,4.3802215866930959e-06,8.4832657381343087e-06,7.3587722656443982e-20,1.8868646834985638e-06,1.8868646834985637e-18,1.1404704808829550e-19,1.1404704808829550e-19,0,1
