step,time_s,fluid_nodes,fluid_volume_m3,fluid_mass_kg,fluid_mass_signed_rel,fluid_mass_abs_rel,max_density_deviation,volume_mean_ux_m_s,max_abs_ux_m_s,Qx_legacy_m3_s,qx_legacy_m_s,Bxx_numerical_residual_m2,Qx_plane_groove1_m3_s,Qx_plane_groove2_m3_s,nonfinite_count,all_finite
21,8.7499999999999969e-11,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,3.5134879163051617e-05,7.3713049135892312e-05,5.9026596993926690e-19,1.5135024870237614e-05,1.5135024870237614e-17,9.9214517665872781e-19,9.9214517665872781e-19,0,1
22,9.1666666666666634e-11,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,3.4729056444134766e-05,7.3086774636438041e-05,5.8344814826146383e-19,1.4960208929781125e-05,1.4960208929781123e-17,9.7341250558072966e-19,9.7341250558072966e-19,0,1
23,9.5833333333333300e-11,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,3.4186975500917702e-05,7.2091601656445136e-05,5.7434118841541715e-19,1.4726697138856851e-05,1.4726697138856853e-17,9.4851504182108186e-19,9.4851504182108186e-19,0,1
24,9.9999999999999965e-11,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,3.3510870574839712e-05,7.0779795375993672e-05,5.6298262565730691e-19,1.4435451939930947e-05,1.4435451939930949e-17,9.1839011549808822e-19,9.1839011549808822e-19,0,1
25,1.0416666666666663e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,3.2702883510283230e-05,6.9194535276526054e-05,5.4940844297275803e-19,1.4087395973660463e-05,1.4087395973660464e-17,8.8392721391622257e-19,8.8392721391622257e-19,0,1
26,1.0833333333333330e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,3.1765155732966085e-05,6.7369043725883074e-05,5.3365461631383004e-19,1.3683451700354616e-05,1.3683451700354616e-17,8.4592194267033019e-19,8.4592194267033019e-19,0,1
27,1.1249999999999996e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,3.0699932331108765e-05,6.5328766933958163e-05,5.1575886316262706e-19,1.3224586234939156e-05,1.3224586234939156e-17,8.0507134730866838e-19,8.0507134730866838e-19,0,1
28,1.1666666666666663e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,2.9509750211647143e-05,6.3092504851971777e-05,4.9576380355567188e-19,1.2711892398863382e-05,1.2711892398863383e-17,7.6196144591013790e-19,7.6196144591013790e-19,0,1
29,1.2083333333333328e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,2.8197708070148349e-05,6.0675336214374888e-05,4.7372149557849205e-19,1.2146705014833130e-05,1.2146705014833130e-17,7.1708478009361243e-19,7.1708478009361243e-19,0,1
30,1.2499999999999996e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,2.6767739438392040e-05,5.8089706617420378e-05,4.4969802256498613e-19,1.1530718527307338e-05,1.1530718527307338e-17,6.7084246716237838e-19,6.7084246716237838e-19,0,1
31,1.2916666666666663e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,2.5224862948982232e-05,5.5347677923570738e-05,4.2377769754290130e-19,1.0866094808792342e-05,1.0866094808792343e-17,6.2356720498618235e-19,6.2356720498618235e-19,0,1
32,1.3333333333333329e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,2.3575391097527224e-05,5.2461183498113959e-05,3.9606657043845723e-19,1.0155553088165570e-05,1.0155553088165569e-17,5.7552742482983521e-19,5.7552742482983521e-19,0,1
33,1.3749999999999994e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,2.1827070236196107e-05,4.9443263657945866e-05,3.6669477996809447e-19,9.4024302555921668e-06,9.4024302555921668e-18,5.2694740479728942e-19,5.2694740479728942e-19,0,1
34,1.4166666666666662e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,1.9989112226323633e-05,4.6307502525754660e-05,3.3581708540223689e-19,8.6106944974932538e-06,8.6106944974932546e-18,4.7800868058724557e-19,4.7800868058724557e-19,0,1
35,1.4583333333333330e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,1.8072119336465157e-05,4.3068482040902970e-05,3.0361160485261456e-19,7.7849129449388345e-06,7.7849129449388361e-18,4.2886515670769990e-19,4.2886515670769990e-19,0,1
36,1.4999999999999995e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,1.6087915603048248e-05,3.9740766571650940e-05,2.7027698213121045e-19,6.9301790290053967e-06,6.9301790290053968e-18,3.7964150179496358e-19,3.7964150179496358e-19,0,1
37,1.5416666666666660e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,1.4049308231929230e-05,3.6338997054641984e-05,2.3602837829641096e-19,6.0520096999079740e-06,6.0520096999079743e-18,3.3044423933323354e-19,3.3044423933323354e-19,0,1
38,1.5833333333333328e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,1.1969796959435408e-05,3.2876845864251833e-05,2.0109258891851477e-19,5.1562202286798659e-06,5.1562202286798662e-18,2.8135862513895173e-19,2.8135862513895173e-19,0,1
39,1.6249999999999996e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,9.8632632885583530e-06,2.9367145520724965e-05,1.6570282324778026e-19,4.2487903396866732e-06,4.2487903396866731e-18,2.3245765775780693e-19,2.3245765775780693e-19,0,1
40,1.6666666666666661e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,7.7436640098367257e-06,2.5821139556092088e-05,1.3009355536525696e-19,3.3357321888527428e-06,3.3357321888527426e-18,1.8379935546503222e-19,1.8379935546503222e-19,0,1
41,1.7083333333333326e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,5.6247512637578792e-06,2.2248897770878632e-05,9.4495821231132330e-20,2.4229697751572395e-06,2.4229697751572394e-18,1.3543567679650410e-19,1.3543567679650410e-19,0,1
42,1.7499999999999994e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,3.5198281441889283e-06,1.8659012462295070e-05,5.9133112822373977e-20,1.5162336621121534e-06,1.5162336621121533e-18,8.7411738987138924e-20,8.7411738987138924e-20,0,1
43,1.7916666666666662e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,1.4415497210669683e-06,1.5059351880790976e-05,2.4218035313925057e-20,6.2097526445961693e-07,6.2097526445961697e-19,3.9775800652307885e-20,3.9775800652307885e-20,0,1
44,1.8333333333333327e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-5.9823030428722450e-07,1.1877599583519937e-05,-1.0050269112025368e-20,-2.5769920800065049e-07,-2.5769920800065046e-19,-7.4193163940791292e-21,-7.4193163940791292e-21,0,1
45,1.8749999999999992e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-2.5885673677363952e-06,1.3802963077734316e-05,-4.3487931777971420e-20,-1.1150751737941391e-06,-1.1150751737941392e-18,-5.4105693898577168e-20,-5.4105693898577168e-20,0,1
46,1.9166666666666660e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-4.5194952592918744e-06,1.5678037573141350e-05,-7.5927520356103475e-20,-1.9468594963103456e-06,-1.9468594963103459e-18,-1.0019822632971389e-19,-1.0019822632971389e-19,0,1
47,1.9583333333333328e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-6.3820603753313002e-06,1.7498622988747698e-05,-1.0721861430556581e-19,-2.7491952386042519e-06,-2.7491952386042521e-18,-1.4558566245725831e-19,-1.4558566245725831e-19,0,1
48,1.9999999999999993e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-8.1683282798986435e-06,1.9258614049047755e-05,-1.3722791510229717e-19,-3.5186644898024918e-06,-3.5186644898024921e-18,-1.9013047108635523e-19,-1.9013047108635523e-19,0,1
49,2.0416666666666658e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-9.8713663691650193e-06,2.1082495732696825e-05,-1.6583895500197227e-19,-4.2522808974864684e-06,-4.2522808974864685e-18,-2.3366392118402971e-19,-2.3366392118402971e-19,0,1
50,2.0833333333333326e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-1.1485209063996298e-05,2.3521003132935460e-05,-1.9295151227513773e-19,-4.9474746737214802e-06,-4.9474746737214804e-18,-2.7599000034030092e-19,-2.7599000034030092e-19,0,1
51,2.1249999999999994e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-1.3004807997829317e-05,2.5855289283337335e-05,-2.1848077436353244e-19,-5.6020711375264732e-06,-5.6020711375264734e-18,-3.1688571541198979e-19,-3.1688571541198979e-19,0,1
52,2.1666666666666659e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-1.4425971900437796e-05,2.8070745007114926e-05,-2.4235632792735488e-19,-6.2142648186501258e-06,-6.2142648186501257e-18,-3.5610933163875265e-19,-3.5610933163875265e-19,0,1
53,2.2083333333333324e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-1.5745297820887359e-05,3.0151743267492963e-05,-2.6452100339090755e-19,-6.7825898305360912e-06,-6.7825898305360913e-18,-3.9340504410612680e-19,-3.9340504410612680e-19,0,1
54,2.2499999999999992e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-1.6960097659045171e-05,3.2082321196355031e-05,-2.8492964067195877e-19,-7.3058882223579176e-06,-7.3058882223579184e-18,-4.2851389345386359e-19,-4.2851389345386359e-19,0,1
55,2.2916666666666660e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-1.8068321421990891e-05,3.3846664221191911e-05,-3.0354779988944683e-19,-7.7832769202422267e-06,-7.7832769202422256e-18,-4.6118046826554335e-19,-4.6118046826554335e-19,0,1
56,2.3333333333333325e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-1.9068480746497093e-05,3.5429820024860938e-05,-3.2035047654115108e-19,-8.2141147831064388e-06,-8.2141147831064386e-18,-4.9116393328250820e-19,-4.9116393328250820e-19,0,1
57,2.3749999999999990e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-1.9959574253813582e-05,3.7029807533369622e-05,-3.3532084746406807e-19,-8.5979704477966181e-06,-8.5979704477966194e-18,-5.1824414652840265e-19,-5.1824414652840265e-19,0,1
58,2.4166666666666656e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-2.0741018194874562e-05,3.8722132480427358e-05,-3.4844910567389251e-19,-8.9345924531767322e-06,-8.9345924531767327e-18,-5.4223054533449407e-19,-5.4223054533449407e-19,0,1
59,2.4583333333333326e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-2.1412583855891051e-05,4.0188459133117412e-05,-3.5973140877896950e-19,-9.2238822763838342e-06,-9.2238822763838340e-18,-5.6296583424744285e-19,-5.6296583424744285e-19,0,1
60,2.4999999999999991e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-2.1974344720799022e-05,4.1420015674915901e-05,-3.6916899130942341e-19,-9.4658715720364987e-06,-9.4658715720364982e-18,-5.8033151203494694e-19,-5.8033151203494694e-19,0,1
61,2.5416666666666656e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-2.2426634367639563e-05,4.2410612423809469e-05,-3.7676745737634453e-19,-9.6607040352908855e-06,-9.6607040352908860e-18,-5.9424843908968215e-19,-5.9424843908968215e-19,0,1
62,2.5833333333333327e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-2.2770017126418743e-05,4.3156825100503490e-05,-3.8253628772383473e-19,-9.8086227621496087e-06,-9.8086227621496085e-18,-6.0467889878939468e-19,-6.0467889878939468e-19,0,1
63,2.6249999999999992e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-2.3005271412223277e-05,4.3657890004861983e-05,-3.8648855972535088e-19,-9.9099630698807929e-06,-9.9099630698807934e-18,-6.1162431577990815e-19,-6.1162431577990815e-19,0,1
64,2.6666666666666657e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-2.3133386292028333e-05,4.3980413327308126e-05,-3.8864088970607584e-19,-9.9651510181045093e-06,-9.9651510181045095e-18,-6.1512448114611852e-19,-6.1512448114611852e-19,0,1
65,2.7083333333333323e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-2.3155569822030087e-05,4.4333625835096810e-05,-3.8901357301010534e-19,-9.9747070002591111e-06,-9.9747070002591125e-18,-6.1525322127212783e-19,-6.1525322127212783e-19,0,1
66,2.7499999999999988e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-2.3073268158012025e-05,4.4447866696988778e-05,-3.8763090505460190e-19,-9.9392539757590240e-06,-9.9392539757590240e-18,-6.1211573287525871e-19,-6.1211573287525871e-19,0,1
67,2.7916666666666658e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-2.2888192664666900e-05,4.4329958144679423e-05,-3.8452163676640375e-19,-9.8595291478565063e-06,-9.8595291478565064e-18,-6.0584313849897040e-19,-6.0584313849897040e-19,0,1
68,2.8333333333333323e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-2.2602352883535067e-05,4.3988419715108995e-05,-3.7971952844338898e-19,-9.7363981652151028e-06,-9.7363981652151032e-18,-5.9658887982016624e-19,-5.9658887982016624e-19,0,1
69,2.8749999999999989e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-2.2218091793921219e-05,4.3433109522602890e-05,-3.7326394213787634e-19,-9.5708703112275991e-06,-9.5708703112275993e-18,-5.8452301367851143e-19,-5.8452301367851143e-19,0,1
70,2.9166666666666659e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-2.1738120812804701e-05,4.2842076161409001e-05,-3.6520042965511882e-19,-9.3641135809004837e-06,-9.3641135809004835e-18,-5.6982847321387079e-19,-5.6982847321387079e-19,0,1
71,2.9583333333333324e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-2.1165551075976760e-05,4.2103977966238102e-05,-3.5558125807640943e-19,-9.1174681558053709e-06,-9.1174681558053717e-18,-5.5269578364431750e-19,-5.5269578364431750e-19,0,1
72,2.9999999999999989e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-2.0503918756256373e-05,4.1181635229486624e-05,-3.4446583510510700e-19,-8.8324573103873593e-06,-8.8324573103873603e-18,-5.3331980873089072e-19,-5.3331980873089072e-19,0,1
73,3.0416666666666655e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-1.9757201840288987e-05,4.0150146448901366e-05,-3.3192099091685485e-19,-8.5107946388937148e-06,-8.5107946388937148e-18,-5.1189538851587734e-19,-5.1189538851587734e-19,0,1
74,3.0833333333333320e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-1.8929827092307391e-05,3.8999573111499891e-05,-3.1802109515076402e-19,-8.1543870551477949e-06,-8.1543870551477950e-18,-4.8861499062379114e-19,-4.8861499062379114e-19,0,1
75,3.1249999999999990e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-1.8026665867698978e-05,3.7696737145844046e-05,-3.0284798657734267e-19,-7.7653329891626338e-06,-7.7653329891626342e-18,-4.6366557014649226e-19,-4.6366557014649226e-19,0,1
76,3.1666666666666656e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-1.7053018765844016e-05,3.6252603532680204e-05,-2.8649071526617938e-19,-7.3459157760558820e-06,-7.3459157760558815e-18,-4.3722735591627901e-19,-4.3722735591627901e-19,0,1
77,3.2083333333333321e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-1.6014589080734753e-05,3.4677880306441098e-05,-2.6904509655634375e-19,-6.8985922193934300e-06,-6.8985922193934302e-18,-4.0947203928802212e-19,-4.0947203928802212e-19,0,1
78,3.2499999999999991e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-1.4917446117868734e-05,3.2983023436526929e-05,-2.5061309478019461e-19,-6.4259767892357593e-06,-6.4259767892357595e-18,-3.8056272068414637e-19,-3.8056272068414637e-19,0,1
79,3.2916666666666656e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,-1.3767979402153280e-05,3.1178175691024580e-05,-2.3130205395617502e-19,-5.9308218963121806e-06,-5.9308218963121805e-18,-3.5065333890888802e-19,-3.5065333890888802e-19,0,1
