angle_deg,Kxx_m3,Kxy_m3,Kyx_m3,Kyy_m3,reciprocity_abs_m3,reciprocity_relative,principal_max_m3,principal_min_m3,anisotropy_ratio
0,3.2231601750115104e-23,-3.347639422472871e-34,1.2952885697052603e-34,8.204200065513804e-23,4.642927992178131e-34,,8.204200065513804e-23,3.22316017501151e-23,2.5453901202674505
45,5.721900055183591e-23,2.5036827786051712e-23,2.5036827805226293e-23,5.72190005600253e-23,1.9174581566008596e-32,7.658550721831467e-10,8.225582835156961e-23,3.21821727602916e-23,2.55594390609518
90,8.204200064954718e-23,-1.319555345962339e-34,-1.4221057856289868e-33,3.223160175473154e-23,1.2901502510327529e-33,,8.204200064954718e-23,3.2231601754731546e-23,2.5453901197294218
