run_id,angle_deg,mode,nx,ny,Lx_m,Ly_m,normal_pitch_nm,groove_width_nm,gap_nm,dt_s,tau,steps_completed,fluid_nodes,fluid_volume_m3,max_mass_abs_relative,max_density_deviation,pressure_min_Pa,pressure_max_Pa,pressure_disturbance_Pa,max_speed_m_s,Re_max_Href,Mach_max,mean_ux_m_s,mean_uy_m_s,Jx_m2_s,Jy_m2_s,Kxj_m3,Kyj_m3,flow_rate_mean_m3_s,R_main_Pa_s_per_m3,section_relative_difference,finite,material_unchanged,PASS
sim_ec1xt240_angle0_h65_dx5_a1e5_x_20260909,0,x,48.0,48.0,2.4e-07,2.4e-07,239.99999999999997,119.99999999999999,65,1e-11,1.7,1703,52992,6.6239999999960656e-21,1.069379579629053e-12,9.912858112137712e-08,-7.390706574517125,7.390706879828457,14.781413454345582,7.271336608552997e-05,8.362037099835947e-06,2.518864888989872e-07,2.8027479782725425e-05,1.1263378867008953e-16,3.22316017501151e-12,1.2952885697052604e-23,3.2231601750115104e-23,1.2952885697052603e-34,7.735584451408716e-19,3.102545159724893e+19,5.282691092132567e-08,True,True,True
sim_ec1xt240_angle0_h65_dx5_a1e5_y_20260909,0,y,48.0,48.0,2.4e-07,2.4e-07,239.99999999999997,119.99999999999999,65,1e-11,1.7,2255,52992,6.6239999999960656e-21,0,2.4424906541753444e-15,-1.942890293094024e-07,2.0354088784794536e-07,3.978299171573477e-07,0.00015344411738647118,1.764607349944419e-05,5.31546014871862e-07,-2.910990802152051e-16,7.1340870134945e-05,-3.347639422472871e-23,8.204200065513804e-12,-3.347639422472871e-34,8.204200065513804e-23,1.9690080157232813e-18,1.2188878769588769e+19,0,True,True,True
sim_ec1xt240_angle45_h65_dx5_a1e5_x_20260909,45,x,68.0,68.0,3.4e-07,3.4e-07,240.41630560342614,120.20815280171307,65,1e-11,1.7,2320,106352,1.3294000000030696e-20,1.940938695868467e-12,7.074852215183114e-08,-5.517220772836377,5.51722106889585,11.034441841732228,0.00011179037389247365,1.285589299763447e-05,3.872532147577714e-07,4.975565265365546e-05,2.1771154613189983e-05,5.721900055183591e-12,2.5036827805226294e-12,5.721900055183591e-23,2.5036827805226293e-23,1.9454460187624753e-18,1.747671211233546e+19,5.939809974102531e-16,True,True,True
sim_ec1xt240_angle45_h65_dx5_a1e5_y_20260909,45,y,68.0,68.0,3.4e-07,3.4e-07,240.41630560342614,120.20815280171307,65,1e-11,1.7,2320,106352,1.3294000000030696e-20,1.9405910027838785e-12,7.074852215183114e-08,-5.517220772836377,5.51722106889585,11.034441841732228,0.00011179037389272311,1.2855892997663157e-05,3.8725321475863557e-07,2.177115459651643e-05,4.975565266077667e-05,2.503682778605171e-12,5.7219000560025295e-12,2.5036827786051712e-23,5.72190005600253e-23,1.9454460190407915e-18,1.7476712109834131e+19,3.959873315501854e-16,True,True,True
sim_ec1xt240_angle90_h65_dx5_a1e5_x_20260909,90,x,48.0,48.0,2.4e-07,2.4e-07,239.99999999999997,119.99999999999999,65,1e-11,1.7,2255,52992,6.6239999999960656e-21,0,2.4424906541753444e-15,-1.942890293094024e-07,2.0354088784794536e-07,3.978299171573477e-07,0.00015344411738180429,1.764607349890749e-05,5.315460148556954e-07,7.134087013008337e-05,-1.2366137266346359e-15,8.204200064954717e-12,-1.4221057856289867e-22,8.204200064954718e-23,-1.4221057856289868e-33,1.969008015589125e-18,1.2188878770419399e+19,0,True,True,True
sim_ec1xt240_angle90_h65_dx5_a1e5_y_20260909,90,y,48.0,48.0,2.4e-07,2.4e-07,239.99999999999997,119.99999999999999,65,1e-11,1.7,1703,52992,6.6239999999960656e-21,1.0284419382990445e-12,9.912858112137712e-08,-7.390706565265266,7.390706879828457,14.781413445093722,7.271336606789851e-05,8.36203709780833e-06,2.5188648883790996e-07,-1.1474394312722804e-16,2.802747978673972e-05,-1.3195553459623389e-23,3.223160175473154e-12,-1.319555345962339e-34,3.223160175473154e-23,7.735584452431929e-19,3.1025451592805245e+19,5.259256200739546e-08,True,True,True
