case,run_id,dx_nm,h_nm,acceleration_m_s2,dt_s,tau,convergence_step,physical_time_s,fluid_nodes,fluid_volume_m3,max_mass_abs_relative,max_density_deviation,max_speed_m_s,Re_max_Href,Mach_max,mean_ux_m_s,mean_uy_m_s,Jx_m2_s,Jy_m2_s,Kx_m3,Ky_m3,Bx_m2,By_m2,Q_section1_m3_s,Q_section2_m3_s,section_relative_difference,window_main_rel_std,window_main_rel_span,window_cross_abs_max_m2_s,PASS
X,ex240_h65_dx5_a1e5_x_20260907,5,65,100000.0,1e-11,1.7,1703,1.7029999999999998e-08,52992,6.623999999996066e-21,1.069379579629053e-12,9.912858112137712e-08,7.271336608552997e-05,8.362037099835947e-06,2.518864888989872e-07,2.802747978272542e-05,1.126337886700895e-16,3.22316017501151e-12,1.29528856970526e-23,3.22316017501151e-23,1.29528856970526e-34,2.802747978270879e-16,1.126337886700226e-27,7.735584655732237e-19,7.735584247085195e-19,5.282691092132567e-08,4.49896140155207e-07,4.91825574634377e-06,1.709673969206541e-23,true
Y,ex240_h65_dx5_a1e5_y_20260907,5,65,100000.0,1e-11,1.7,2255,2.255e-08,52992,6.623999999996066e-21,0.0,2.442490654175344e-15,0.0001534441173864712,1.764607349944419e-05,5.31546014871862e-07,-2.910990802152051e-16,7.1340870134945e-05,-3.347639422472871e-23,8.204200065513804e-12,-3.347639422472871e-34,8.204200065513804e-23,-2.910990802150323e-27,7.134087013490264e-16,1.969008015723281e-18,1.969008015723281e-18,0.0,9.963248912087918e-07,4.884189268907044e-06,8.893828681469157e-23,true
