run_id,geometry,gap_nm,mode,steps_completed,dx_m,dt_s,tau,applied_pressure_gradient_Pa_m,pressure_gradient_fit_Pa_m,pressure_min_Pa,pressure_max_Pa,pressure_disturbance_Pa,fluid_nodes,groove_nodes,fluid_volume_m3,nominal_volume_m3,max_mass_abs_relative,max_density_deviation,max_speed_m_s,groove_max_speed_m_s,Mach_max,mean_ux_m_s,mean_uy_m_s,groove_mean_ux_m_s,groove_mean_uy_m_s,Jx_m2_s,Jy_m2_s,K_main_m3,flow_rate_mean_m3_s,R_J_Pa_s_per_m3,Q_section1_m3_s,Q_section2_m3_s,section_relative_difference,finite,material_unchanged,PASS
sim_ec1xt240_right_angle_h75_dx5_a1e5_x_20260909,orthogonal_cross_junction,75.00000000000001,x,2551,5e-09,1e-11,1.7,100000000,16968506.520669475,-11.974278133856467,11.974280141509771,23.94855827536624,69120,34560,8.640000000005893e-21,8.64e-21,2.2665342215886152e-13,1.4369136169811725e-07,0.0002036626711002469,0.0002036626711002469,7.055081879016345e-07,8.329962310930684e-05,2.696990033503586e-16,7.234168654980585e-05,3.0022906698680966e-16,1.2494943466404551e-11,4.0454850502581383e-23,1.2494943466404553e-22,2.998786431937092e-18,8.003237491139704e+18,2.998786500921191e-18,2.9987863794645957e-18,4.050191476433813e-08,True,True,True
sim_ec1xt240_right_angle_h75_dx5_a1e5_y_20260909,orthogonal_cross_junction,75.00000000000001,y,2551,5e-09,1e-11,1.7,100000000,16968506.520353075,-11.974278115352751,11.974280160013487,23.94855827536624,69120,34560,8.640000000005893e-21,8.64e-21,2.683819042872436e-13,1.4369136192016185e-07,0.00020366267109560475,0.00020366267109560475,7.055081878855537e-07,-6.3864496915203364e-15,8.329962311091506e-05,-5.546822779801884e-15,7.234168655112363e-05,-9.57967453728704e-22,1.2494943466645783e-11,1.2494943466645783e-22,2.9987864319949875e-18,8.003237490985191e+18,2.9987865009560003e-18,2.998786379544886e-18,4.048674835051306e-08,True,True,True
sim_ec1xt240_right_angle_h65_dx5_a1e5_x_20260909,orthogonal_cross_junction,65,x,2406,5e-09,1e-11,1.7,100000000,17653800.253980845,-10.995702811230265,10.995704254520197,21.99140706575046,64512,34560,8.064000000002823e-21,8.064e-21,2.4761956427839344e-13,1.3194845105424235e-07,0.00018707192718783448,0.00018707192718783448,6.480361651183098e-07,7.260239922788664e-05,-1.2203342641385778e-15,6.833949269859138e-05,-1.0433287587369629e-15,1.016433589190769e-11,-1.7084679697946075e-22,1.016433589190769e-22,2.439440614057845e-18,9.838321073156856e+18,2.4394406717038715e-18,2.4394405698991873e-18,4.173279776359848e-08,True,True,True
sim_ec1xt240_right_angle_h65_dx5_a1e5_y_20260909,orthogonal_cross_junction,65,y,2406,5e-09,1e-11,1.7,100000000,17653800.25187053,-10.99570278347469,10.99570429152763,21.99140707500232,64512,34560,8.064000000002823e-21,8.064e-21,1.7100270835583498e-13,1.3194845149833156e-07,0.0001870719271834696,0.0001870719271834696,6.480361651031895e-07,-5.783930383595686e-15,7.260239923114315e-05,-5.234126784534476e-15,6.833949270118971e-05,-8.0975025370367965e-22,1.01643358923636e-11,1.01643358923636e-22,2.4394406141672637e-18,9.838321072715567e+18,2.4394406718352716e-18,2.4394405699573843e-18,4.176280589284043e-08,True,True,True
