run_id,gap_nm,mode,coordinate_nm,fluid_area_m2,pressure_section_mean_Pa,Q_total_m3_s,Q_gap_m3_s,Q_recess_m3_s,recess_fraction_of_Q,periodic_section_pressure_gradient_Pa_m
sim_ec1xt240_right_angle_h75_dx5_a1e5_x_20260909,75,x,207.5,3e-14,0.8007826655109723,2.9987864001213892e-18,1.776999941648683e-18,1.2217864584727068e-18,0.40742697059825583,-26006237.95390129
sim_ec1xt240_right_angle_h75_dx5_a1e5_x_20260909,75,x,212.5,3e-14,0.672903643498818,2.9987864056465695e-18,1.77920313976756e-18,1.2195832658790096e-18,0.406692275109222,-25305170.99052667
sim_ec1xt240_right_angle_h75_dx5_a1e5_x_20260909,75,x,217.5,3e-14,0.5477309556057056,2.9987864092277053e-18,1.7809602835768604e-18,1.217826125650845e-18,0.40610632417947995,-24840841.849644974
sim_ec1xt240_right_angle_h75_dx5_a1e5_x_20260909,75,x,222.5,3e-14,0.4244952250023683,2.99878641056921e-18,1.7823158866576704e-18,1.2164705239115394e-18,0.40565427388362646,-24527105.5996418
sim_ec1xt240_right_angle_h75_dx5_a1e5_x_20260909,75,x,227.5,3e-14,0.3024598996092876,2.9987864247004835e-18,1.7833040756613627e-18,1.215482349039121e-18,0.4053247470468066,-24329210.488746565
sim_ec1xt240_right_angle_h75_dx5_a1e5_x_20260909,75,x,232.5,3e-14,0.18120312011490267,2.9987864237227767e-18,1.7839495031239496e-18,1.2148369205988275e-18,0.40510951729956657,-24210599.918849766
sim_ec1xt240_right_angle_h75_dx5_a1e5_x_20260909,75,x,237.5,3e-14,0.06035390042078992,2.9987864243594233e-18,1.784268262645128e-18,1.2145181617142953e-18,0.4050032212526542,-24156115.31306058
sim_ec1xt240_right_angle_h75_dx5_a1e5_y_20260909,75,y,2.5,3e-14,-0.06035800948428611,2.9987864330450977e-18,1.7842682692844393e-18,1.2145181637606584e-18,0.4050032207620014,-24156114.283638697
sim_ec1xt240_right_angle_h75_dx5_a1e5_y_20260909,75,y,7.5,3e-14,-0.1812072188096742,2.9987864315785375e-18,1.7839495108091796e-18,1.2148369207693578e-18,0.4051095162951892,-24210596.969040733
sim_ec1xt240_right_angle_h75_dx5_a1e5_y_20260909,75,y,12.5,3e-14,-0.3024639791746934,2.99878643501188e-18,1.7833040856658045e-18,1.2154823493460754e-18,0.4053247457554476,-24329205.33729096
